"uniqueID","division","mpFrom","mpTo","phid","deathDate"
"Abbott1957","Warringah",1994-03-26,2019-05-18,"EZ5",NA
"Adams1951","Lyons",1993-03-13,2013-09-07,"BV5",NA
"Albanese1963","Grayndler",1996-03-02,NA,"R36",NA
"Alexander1951","Bennelong",2010-08-21,2017-11-11,"M3M",NA
"Alexander1951","Bennelong",2018-12-16,NA,"M3M",NA
"Allen1966","Higgins",2019-05-18,NA,"282986",NA
"Aly1967","Cowan",2016-07-02,NA,"13050",NA
"Anderson1956","Gwydir",1989-04-15,2007-10-17,"4K4",NA
"Andren1946","Calare",1996-03-02,2007-10-17,"KL6",2007-11-03
"Andrew1944","Wakefield",1983-03-05,2004-08-31,"HE4",NA
"Andrews1955","Menzies",1991-05-11,NA,"HK5",NA
"Andrews1960","McPherson",2010-08-21,NA,"230886",NA
"Anthony1961","Richmond",1996-03-02,2004-10-09,"XJ6",NA
"Archer1975","Bass",2019-05-18,NA,"282237",NA
"Bailey1946","McEwen",1996-03-02,2010-07-19,"JT4",NA
"Baird1942","Cook",1998-10-03,2007-10-17,"MP6",NA
"Baker1958","Braddon",2004-10-09,2007-11-24,"DYK",NA
"Baldwin1951","Sydney",1983-03-05,1998-08-31,"MD4",NA
"Baldwin1955","Paterson",1996-03-02,1998-10-03,"LL6",NA
"Baldwin1955","Paterson",2001-11-10,2016-05-09,"LL6",NA
"Bandt1972","Melbourne",2010-08-21,NA,"M3C",NA
"Banks1962","Chisholm",2016-07-02,2019-05-18,"18661",NA
"Barresi1955","Deakin",1996-03-02,2007-11-24,"ZJ6",NA
"Bartlett1949","Macquarie",1996-03-02,2007-11-24,"0K6",NA
"Beazley1948","Brand",1996-03-02,2007-10-17,"PE4",NA
"Beddall1948","Rankin",1984-12-01,1998-08-31,"QE4",NA
"Bell1968","Moncrieff",2019-05-18,NA,"282981",NA
"Bevis1955","Brisbane",1990-03-24,2010-08-21,"ET4",NA
"Bidgood1959","Dawson",2007-11-24,2010-07-19,"HVM",NA
"Billson1966","Dunkley",1996-03-02,2016-05-09,"1K6",NA
"Bird1962","Cunningham",2004-10-09,NA,"DZP",NA
"Bishop1942","Mackellar",1994-03-26,2016-05-09,"SE4",NA
"Bishop1956","Curtin",1998-10-03,2019-05-18,"83P",NA
"Bowen1973","McMahon",2010-08-21,NA,"DZS",NA
"Bowen1973","Prospect",2004-10-09,2010-08-21,"DZS",NA
"Bradbury1976","Lindsay",2007-11-24,2013-09-07,"HVW",NA
"Bradford1946","McPherson",1990-03-24,1998-10-03,"FT4",NA
"Brereton1946","Kingsford-Smith",1990-03-24,2004-08-31,"5T4",NA
"Briggs1977","Mayo",2008-09-06,2016-07-02,"IYU",NA
"Broad1975","Mallee",2013-09-07,2019-04-11,"30379",NA
"Broadbent1950","McMillan",1996-03-02,1998-10-03,"MT4",NA
"Broadbent1950","McMillan",2004-10-09,2019-04-11,"MT4",NA
"Broadbent1950","Monash",2019-05-18,NA,"MT4",NA
"Brodtmann1963","Canberra",2010-08-21,2019-04-11,"30540",NA
"Brough1961","Fisher",2013-09-07,2016-05-09,"2K6",NA
"Brough1961","Longman",1996-03-02,2007-11-24,"2K6",NA
"Brown1933","Charlton",1984-12-01,1998-08-31,"5A5",NA
"Buchholz1968","Wright",2010-08-21,NA,"230531",NA
"Burke1966","Chisholm",1998-10-03,2016-05-09,"83S",NA
"Burke1969","Watson",2004-10-09,NA,"DYW",NA
"Burney1957","Barton",2016-07-02,NA,"8GH",NA
