"uniqueID","phid","surname","firstName","displayName","gender","title","prefix","suffix","electorate","party","deathDate","form1","form2","form3","form4","form5"
"Abbott1869","JLM","Abbott","Percy","Abbott, Percy","male","Mr",NA,"CMG",NA,"Australian Country Party",1940-09-09,"Mr Percy Abbott","Mr Abbott","Mr PERCY ABBOTT","Mr ABBOTT","Mr Percy ABBOTT"
"Abbott1886","JLJ","Abbott","Charles","Abbott, Aubrey","male","Mr","the Hon.",NA,"Gwydir","Australian Country Party",1975-04-30,"Mr Charles Abbott","Mr Abbott","Mr CHARLES ABBOTT","Mr ABBOTT","Mr Charles ABBOTT"
"Abbott1891","JLL","Abbott","Joseph","Abbott, Joseph","male","Mr","the Hon.","OBE, MC","New England","Australian Country Party",1965-05-07,"Mr Joseph Abbott","Mr Abbott","Mr JOSEPH ABBOTT","Mr ABBOTT","Mr Joseph ABBOTT"
"Abbott1957","EZ5","Abbott","Anthony","Abbott, Tony","male","Mr","the Hon.","AC","Warringah","Liberal Party of Australia",NA,"Mr Anthony Abbott","Mr Abbott","Mr ANTHONY ABBOTT","Mr ABBOTT","Mr Anthony ABBOTT"
"Abel1939","JLN","Abel","John","Abel, John","male","Mr",NA,NA,"Evans","Liberal Party of Australia",NA,"Mr John Abel","Mr Abel","Mr JOHN ABEL","Mr ABEL","Mr John ABEL"
"Adams1951","BV5","Adams","Dick","Adams, Dick","male","Mr","the Hon.","OAM","Lyons","Australian Labor Party",NA,"Mr Dick Adams","Mr Adams","Mr DICK ADAMS","Mr ADAMS","Mr Dick ADAMS"
"Adermann1896","JLR","Adermann","Charles","Adermann, Charles","male","Mr","the Rt. Hon. Sir","KBE","Fisher","Australian Country Party",1979-05-09,"Mr Charles Adermann","Mr Adermann","Mr CHARLES ADERMANN","Mr ADERMANN","Mr Charles ADERMANN"
"Adermann1927","ID4","Adermann","Albert","Adermann, Evan","male","Mr","the Hon.","AO","Fairfax","National Party of Australia",2001-11-03,"Mr Albert Adermann","Mr Adermann","Mr ALBERT ADERMANN","Mr ADERMANN","Mr Albert ADERMANN"
"Ahern1871","JLS","Ahern","Cornelius","Ahern, Cornelius","male","Mr",NA,NA,"Indi","Liberal Party (Commonwealth)",1955-07-10,"Mr Cornelius Ahern","Mr Ahern","Mr CORNELIUS AHERN","Mr AHERN","Mr Cornelius AHERN"
"Albanese1963","R36","Albanese","Anthony","Albanese, Anthony","male","Mr","the Hon.",NA,"Grayndler","Australian Labor Party",NA,"Mr Anthony Albanese","Mr Albanese","Mr ANTHONY ALBANESE","Mr ALBANESE","Mr Anthony ALBANESE"
"Aldred1945","KD4","Aldred","Kenneth","Aldred, Ken","male","Mr",NA,NA,"Deakin","Liberal Party of Australia",2016-04-17,"Mr Kenneth Aldred","Mr Aldred","Mr KENNETH ALDRED","Mr ALDRED","Mr Kenneth ALDRED"
"Alexander1951","M3M","Alexander","John","Alexander, John","male","Mr",NA,"OAM","Bennelong","Liberal Party of Australia",NA,"Mr John Alexander","Mr Alexander","Mr JOHN ALEXANDER","Mr ALEXANDER","Mr John ALEXANDER"
"Allan1916","JLT","Allan","Archibald","Allan, Ian","male","Mr",NA,NA,"Gwydir","Australian Country Party",2000-02-13,"Mr Archibald Allan","Mr Allan","Mr ARCHIBALD ALLAN","Mr ALLAN","Mr Archibald ALLAN"
"Allen1966","282986","Allen","Katrina","Allen, Katie","female","Dr|Ms|Mrs","Dr",NA,"Higgins","Liberal Party of Australia",NA,"(Dr|Ms|Mrs) Katrina Allen","(Dr|Ms|Mrs) Allen","(Dr|Ms|Mrs) KATRINA ALLEN","(Dr|Ms|Mrs) ALLEN","(Dr|Ms|Mrs) Katrina ALLEN"
"Aly1967","13050","Aly","Anne","Aly, Anne","female","Dr|Ms|Mrs","the Hon. Dr",NA,"Cowan","Australian Labor Party",NA,"(Dr|Ms|Mrs) Anne Aly","(Dr|Ms|Mrs) Aly","(Dr|Ms|Mrs) ANNE ALY","(Dr|Ms|Mrs) ALY","(Dr|Ms|Mrs) Anne ALY"
"Anderson1956","4K4","Anderson","John","Anderson, John","male","Mr","the Hon.","AC","Gwydir","The Nationals",NA,"Mr John Anderson","Mr Anderson","Mr JOHN ANDERSON","Mr ANDERSON","Mr John ANDERSON"
"AndersonCharles1897","JLU","Anderson","Charles","Anderson, Charles","male","Mr",NA,"VC, MC","Hume","Australian Country Party",1988-11-11,"Mr Charles Anderson","Mr Anderson","Mr CHARLES ANDERSON","Mr ANDERSON","Mr Charles ANDERSON"
