"uniqueID","partyAbbrev","partyName","partyFrom","partyTo","phid","deathDate"
"Abbott1957","LIB","Liberal Party of Australia",NA,NA,"EZ5",NA
"Abel1939","LIB","Liberal Party of Australia",NA,NA,"JLN",NA
"Adams1951","ALP","Australian Labor Party",NA,NA,"BV5",NA
"Adermann1927","NPA","National Party of Australia",1982-10-17,NA,"ID4",2001-11-03
"Albanese1963","ALP","Australian Labor Party",NA,NA,"R36",NA
"Aldred1945","LIB","Liberal Party of Australia",NA,NA,"KD4",2016-04-17
"Alexander1951","LIB","Liberal Party of Australia",NA,NA,"M3M",NA
"Allan1916","CP","Australian Country Party",NA,NA,"JLT",2000-02-13
"Allen1966","LIB","Liberal Party of Australia",NA,NA,"282986",NA
"Aly1967","ALP","Australian Labor Party",NA,NA,"13050",NA
"Anderson1956","NP","The Nationals",2003-10-01,NA,"4K4",NA
"Anderson1956","NPA","National Party of Australia",NA,2003-10-01,"4K4",NA
"Andren1946","IND","Independent",NA,NA,"KL6",2007-11-03
"Andrew1944","LIB","Liberal Party of Australia",NA,NA,"HE4",NA
"Andrews1955","LIB","Liberal Party of Australia",NA,NA,"HK5",NA
"Andrews1960","LIB","Liberal Party of Australia",NA,NA,"230886",NA
"Anthony1929","NPA","National Party of Australia",1982-10-17,NA,"BU4",2020-12-20
"Anthony1961","NP","The Nationals",2003-10-01,NA,"XJ6",NA
"Anthony1961","NPA","National Party of Australia",NA,2003-10-01,"XJ6",NA
"Archer1975","LIB","Liberal Party of Australia",NA,NA,"282237",NA
"Armitage1920","ALP","Australian Labor Party",NA,NA,"JM9",2009-04-13
"Atkinson1948","LIB","Liberal Party of Australia",NA,NA,"JMI",NA
"Bailey1946","LIB","Liberal Party of Australia",NA,NA,"JT4",NA
"Baillieu1937","LIB","Liberal Party of Australia",NA,NA,"JNO",NA
"Baird1942","LIB","Liberal Party of Australia",NA,NA,"MP6",NA
"Baker1958","LIB","Liberal Party of Australia",NA,NA,"DYK",NA
"Baldwin1951","ALP","Australian Labor Party",NA,NA,"MD4",NA
"Baldwin1955","LIB","Liberal Party of Australia",NA,NA,"LL6",NA
"Bandt1972","GRN","Australian Greens",NA,NA,"M3C",NA
"Banks1962","IND","Independent",2018-11-27,NA,"18661",NA
"Banks1962","LIB","Liberal Party of Australia",NA,2018-11-27,"18661",NA
"Barnes1901","CP","Australian Country Party",NA,NA,"JOA",1998-10-24
"Barresi1955","LIB","Liberal Party of Australia",NA,NA,"ZJ6",NA
"Bartlett1949","LIB","Liberal Party of Australia",NA,NA,"0K6",NA
"Baume1930","LIB","Liberal Party of Australia",NA,NA,"LE4",NA
"Beale1934","LIB","Liberal Party of Australia",NA,NA,"OE4",NA
"Beaton1925","ALP","Australian Labor Party",NA,NA,"JOO",2004-12-18
"Beazley1917","ALP","Australian Labor Party",NA,NA,"JF7",2007-10-12
"Beazley1948","ALP","Australian Labor Party",NA,NA,"PE4",NA
"Beddall1948","ALP","Australian Labor Party",NA,NA,"QE4",NA
"Bell1968","LIB","Liberal Party of Australia",NA,NA,"282981",NA
"Bennett1933","ALP","Australian Labor Party",NA,NA,"JOU",2006-05-09
"Berinson1932","ALP","Australian Labor Party",NA,NA,"JP8",2018-06-02
"Bevis1955","ALP","Australian Labor Party",NA,NA,"ET4",NA
"Bidgood1959","ALP","Australian Labor Party",NA,NA,"HVM",NA
"Billson1966","LIB","Liberal Party of Australia",NA,NA,"1K6",NA
"Bilney1939","ALP","Australian Labor Party",NA,NA,"RE4",2012-10-28
"Bird1962","ALP","Australian Labor Party",NA,NA,"DZP",NA
"Bishop1942","LIB","Liberal Party of Australia",NA,NA,"SE4",NA
"Bishop1956","LIB","Liberal Party of Australia",NA,NA,"83P",NA
"Blanchard1929","ALP","Australian Labor Party",NA,NA,"UE4",2008-10-25
"Blewett1933","ALP","Australian Labor Party",NA,NA,"VE4",NA
"Blunt1951","NPA","National Party of Australia",NA,NA,"WE4",NA
"Bosman1924","LIB","Liberal Party of Australia",NA,NA,"JR9",2017-02-06
"Bourchier1929","LIB","Liberal Party of Australia",NA,NA,"JRD",2017-08-31
"Bowen1922","ALP","Australian Labor Party",NA,NA,"ZE4",2012-04-01
"Bowen1973","ALP","Australian Labor Party",NA,NA,"DZS",NA
"Bradbury1976","ALP","Australian Labor Party",NA,NA,"HVW",NA
"Bradford1946","CDP","Christian Democratic Party",1998-04-01,NA,"FT4",NA
"Bradford1946","LIB","Liberal Party of Australia",NA,1998-04-01,"FT4",NA
"Braithwaite1933","NPA","National Party of Australia",1982-10-17,NA,"0F4",NA
"Brereton1946","ALP","Australian Labor Party",NA,NA,"5T4",NA
"Briggs1977","LIB","Liberal Party of Australia",NA,NA,"IYU",NA
"Broad1975","NP","The Nationals",NA,NA,"30379",NA
"Broadbent1950","LIB","Liberal Party of Australia",NA,NA,"MT4",NA
"Brodtmann1963","ALP","Australian Labor Party",NA,NA,"30540",NA
"Brough1961","LIB","Liberal Party of Australia",NA,NA,"2K6",NA
"Brown1931","ALP","Australian Labor Party",NA,NA,"OD4",NA
"Brown1933","ALP","Australian Labor Party",NA,NA,"5A5",NA
"Brown1940","LIB","Liberal Party of Australia",NA,NA,"PD4",NA
"Brownbill1914","LIB","Liberal Party of Australia",NA,NA,"JSO",2002-02-03
"Browne1924","LIB","Liberal Party of Australia",NA,NA,"JSQ",2000-09-11
"Brumby1953","ALP","Australian Labor Party",NA,NA,"1F4",NA
"Buchholz1968","LIB","Liberal Party of Australia",NA,NA,"230531",NA
"Bungey1934","LIB","Liberal Party of Australia",NA,NA,"JT9",NA
"Burke1966","ALP","Australian Labor Party",NA,NA,"83S",NA
"Burke1969","ALP","Australian Labor Party",NA,NA,"DYW",NA
"Burney1957","ALP","Australian Labor Party",NA,NA,"8GH",NA
"Burns1933","LIB","Liberal Party of Australia",NA,NA,"JTM",2009-03-16
"Burns1987","ALP","Australian Labor Party",NA,NA,"278522",NA
"Burr1939","LIB","Liberal Party of Australia",NA,NA,"3F4",NA
"Butler1970","ALP","Australian Labor Party",NA,NA,"HWK",NA
"Butler1977","ALP","Australian Labor Party",NA,NA,"248006",NA
"Byrne1962","ALP","Australian Labor Party",NA,NA,"008K0",NA
"Cadman1937","LIB","Liberal Party of Australia",NA,NA,"SD4",NA
"Cairns1914","ALP","Australian Labor Party",NA,NA,"1V4",2003-10-12
"Calder1916","NCP","National Country Party",1975-05-03,NA,"JTW",2008-09-30
"Cameron1913","ALP","Australian Labor Party",NA,NA,"2V4",2008-03-14
"Cameron1930","LIB","Liberal Party of Australia",NA,NA,"AF4",NA
"Cameron1938","NPA","National Party of Australia",1982-10-17,NA,"BF4",NA
"Cameron1940","LIB","Liberal Party of Australia",NA,NA,"9F4",NA
