"name","firstName","surname","uniqueID","phid","displayName","party","electorate","gender","title","deathDate","electedDeputy"
"Slipper, Peter (The DEPUTY SPEAKER)","Peter","Slipper","Slipper1950","0V5","Slipper, Peter","Independent","Fisher","male","Mr",NA,1
"Burke, Anna (The DEPUTY SPEAKER)","Anna","Burke","Burke1966","83S","Burke, Anna","Australian Labor Party","Chisholm","female","Ms|Mrs",NA,1
"Scott, Bruce (The DEPUTY SPEAKER)","Bruce","Scott","Scott1943","YT4","Scott, Bruce","The Nationals","Maranoa","male","Mr",NA,1
"Georganas, Steve (The DEPUTY SPEAKER)","Steven","Georganas","Georganas1959","DZY","Georganas, Steve","Australian Labor Party","Adelaide","male","Mr",NA,1
"Slipper, Peter (The DEPUTY SPEAKER)","Peter","Slipper","Slipper1950","0V5","Slipper, Peter","Independent","Fisher","male","Mr",NA,1
"Scott, Bruce (The DEPUTY SPEAKER)","Bruce","Scott","Scott1943","YT4","Scott, Bruce","The Nationals","Maranoa","male","Mr",NA,1
"Georganas, Steve (The DEPUTY SPEAKER)","Steven","Georganas","Georganas1959","DZY","Georganas, Steve","Australian Labor Party","Adelaide","male","Mr",NA,1
"The DEPUTY SPEAKER (Ms AE Burke)","Anna","Burke","Burke1966","83S","Burke, Anna","Australian Labor Party","Chisholm","female","Ms|Mrs",NA,1
"Burke, Anna (The DEPUTY SPEAKER)","Anna","Burke","Burke1966","83S","Burke, Anna","Australian Labor Party","Chisholm","female","Ms|Mrs",NA,1
"Burke, Anna (The DEPUTY SPEAKER)","Anna","Burke","Burke1966","83S","Burke, Anna","Australian Labor Party","Chisholm","female","Ms|Mrs",NA,1
"Burke, Anna (The DEPUTY SPEAKER)","Anna","Burke","Burke1966","83S","Burke, Anna","Australian Labor Party","Chisholm","female","Ms|Mrs",NA,1
"Slipper, Peter (The DEPUTY SPEAKER)","Peter","Slipper","Slipper1950","0V5","Slipper, Peter","Independent","Fisher","male","Mr",NA,1
"The DEPUTY SPEAKER (Hon. BC Scott)","Bruce","Scott","Scott1943","YT4","Scott, Bruce","The Nationals","Maranoa","male","Mr",NA,1
"Jenkins, Harry (The DEPUTY SPEAKER)","Henry","Jenkins","Jenkins1952","HH4","Jenkins, Harry (Jr)","Australian Labor Party","Scullin","male","Mr",NA,1
"Causley, Ian (The DEPUTY SPEAKER)","Ian","Causley","Causley1940","4K6","Causley, Ian","The Nationals","Page","male","Mr",NA,1
"Causley, Ian (The DEPUTY SPEAKER)","Ian","Causley","Causley1940","4K6","Causley, Ian","The Nationals","Page","male","Mr",NA,1
"Bishop, Bronwyn (The DEPUTY SPEAKER)","Bronwyn","Bishop","Bishop1942","SE4","Bishop, Bronwyn","Liberal Party of Australia","Mackellar","female","Ms|Mrs",NA,1
"The DEPUTY SPEAKER (Hon. IR Causley)","Ian","Causley","Causley1940","4K6","Causley, Ian","The Nationals","Page","male","Mr",NA,1
"Bishop, Bronwyn (The DEPUTY SPEAKER)","Bronwyn","Bishop","Bishop1942","SE4","Bishop, Bronwyn","Liberal Party of Australia","Mackellar","female","Ms|Mrs",NA,1
"Jenkins, Harry (The DEPUTY SPEAKER)","Henry","Jenkins","Jenkins1952","HH4","Jenkins, Harry (Jr)","Australian Labor Party","Scullin","male","Mr",NA,1
"The DEPUTY SPEAKER (Mr Jenkins)","Henry","Jenkins","Jenkins1952","HH4","Jenkins, Harry (Jr)","Australian Labor Party","Scullin","male","Mr",NA,1
"Hawker, David (The DEPUTY SPEAKER)","David","Hawker","Hawker1949","8H4","Hawker, David","Liberal Party of Australia","Wannon","male","Mr",NA,1
"The DEPUTY SPEAKER (Hon. I.R. Causley)","Ian","Causley","Causley1940","4K6","Causley, Ian","The Nationals","Page","male","Mr",NA,1
"Hawker, David (The DEPUTY SPEAKER)","David","Hawker","Hawker1949","8H4","Hawker, David","Liberal Party of Australia","Wannon","male","Mr",NA,1
"Causley, Ian (The DEPUTY SPEAKER)","Ian","Causley","Causley1940","4K6","Causley, Ian","The Nationals","Page","male","Mr",NA,1
"Jenkins, Harry (Mr DEPUTY SPEAKER)","Henry","Jenkins","Jenkins1952","HH4","Jenkins, Harry (Jr)","Australian Labor Party","Scullin","male","Mr",NA,1
"Nehl, Garry (Mr DEPUTY SPEAKER)","Garry","Nehl","Nehl1934","AE4","Nehl, Garry","National Party of Australia","Cowper","male","Mr",NA,1
"Causley, Ian (Mr DEPUTY SPEAKER)","Ian","Causley","Causley1940","4K6","Causley, Ian","The Nationals","Page","male","Mr",NA,1
"Hawker, David (Mr DEPUTY SPEAKER)","David","Hawker","Hawker1949","8H4","Hawker, David","Liberal Party of Australia","Wannon","male","Mr",NA,1
"Jenkins, Harry (Mr DEPUTY SPEAKER)","Henry","Jenkins","Jenkins1952","HH4","Jenkins, Harry (Jr)","Australian Labor Party","Scullin","male","Mr",NA,1
"Nehl, Garry (Mr ACTING SPEAKER)","Garry","Nehl","Nehl1934","AE4","Nehl, Garry","National Party of Australia","Cowper","male","Mr",NA,1
"DEPUTY SPEAKER, Mr (Mr Causley)","Ian","Causley","Causley1940","4K6","Causley, Ian","The Nationals","Page","male","Mr",NA,1
