"date","parliament.no","session.no","period.no","chamber","page.no","proof"
1998-03-02,38,1,6,"REPS",1,0
1998-03-03,38,1,6,"REPS",159,0
1998-03-04,38,1,6,"REPS",351,0
1998-03-05,38,1,6,"REPS",527,0
1998-03-09,38,1,6,"REPS",711,0
1998-03-10,38,1,6,"REPS",827,0
1998-03-11,38,1,6,"REPS",923,0
1998-03-12,38,1,6,"REPS",1099,0
1998-03-23,38,1,6,"REPS",1255,0
1998-03-24,38,1,6,"REPS",1377,0
1998-03-25,38,1,6,"REPS",1477,0
1998-03-26,38,1,6,"REPS",1649,0
1998-03-30,38,1,6,"REPS",1817,0
1998-03-31,38,1,6,"REPS",1947,0
1998-04-01,38,1,6,"REPS",2059,0
1998-04-02,38,1,6,"REPS",2335,0
1998-04-06,38,1,6,"REPS",2493,0
1998-04-07,38,1,6,"REPS",2623,0
1998-04-08,38,1,6,"REPS",2723,0
1998-04-09,38,1,6,"REPS",2937,0
1998-05-12,38,1,7,"REPS",2973,0
1998-05-13,38,1,7,"REPS",3111,0
1998-05-14,38,1,7,"REPS",3331,0
1998-05-25,38,1,7,"REPS",3529,0
1998-05-26,38,1,7,"REPS",3671,0
1998-05-27,38,1,7,"REPS",3833,0
1998-05-28,38,1,7,"REPS",4065,0
1998-06-01,38,1,7,"REPS",4241,0
1998-06-02,38,1,7,"REPS",4403,0
1998-06-03,38,1,6,"REPS",4545,0
1998-06-04,38,1,7,"REPS",4817,0
1998-06-22,38,1,7,"REPS",4985,0
1998-06-23,38,1,7,"REPS",5119,0
1998-06-24,38,1,7,"REPS",5231,0
1998-06-25,38,1,7,"REPS",5369,0
1998-06-29,38,1,7,"REPS",5501,0
1998-06-30,38,1,7,"REPS",5637,0
1998-07-01,38,1,7,"REPS",5743,0
1998-07-02,38,1,7,"REPS",5873,0
1998-07-03,38,1,7,"REPS",6025,0
1998-07-15,38,1,7,"REPS",6085,0
1998-11-10,39,1,1,"REPS",1,0
1998-11-11,39,1,1,"REPS",51,0
1998-11-12,39,1,1,"REPS",243,0
1998-11-23,39,1,1,"REPS",353,0
1998-11-24,39,1,1,"REPS",471,0
1998-11-25,39,1,1,"REPS",567,0
1998-11-26,39,1,1,"REPS",725,0
1998-11-30,39,1,1,"REPS",875,0
1998-12-01,39,1,1,"REPS",997,0
1998-12-02,39,1,1,"REPS",1087,0
1998-12-03,39,1,1,"REPS",1265,0
1998-12-07,39,1,1,"REPS",1437,0
1998-12-08,39,1,1,"REPS",1555,0
1998-12-09,39,1,1,"REPS",1657,0
1998-12-10,39,1,1,"REPS",1811,0
1999-02-08,39,1,2,"REPS",2013,0
1999-02-09,39,1,2,"REPS",2179,0
1999-02-10,39,1,2,"REPS",2283,0
1999-02-11,39,1,2,"REPS",2455,0
1999-02-15,39,1,2,"REPS",2661,0
1999-02-16,39,1,2,"REPS",2829,0
1999-02-17,39,1,2,"REPS",2947,0
1999-02-18,39,1,2,"REPS",3145,0
1999-03-08,39,1,2,"REPS",3291,0
1999-03-09,39,1,2,"REPS",3431,0
1999-03-10,39,1,2,"REPS",3541,0
1999-03-11,39,1,2,"REPS",3731,0
1999-03-22,39,1,2,"REPS",3885,0
1999-03-23,39,1,2,"REPS",4015,0
1999-03-24,39,1,2,"REPS",4163,0
1999-03-25,39,1,2,"REPS",4363,0
1999-03-29,39,1,2,"REPS",4539,0
1999-03-30,39,1,2,"REPS",4655,0
1999-03-31,39,1,2,"REPS",4805,0
1999-05-11,39,1,3,"REPS",4997,0
1999-05-12,39,1,3,"REPS",5137,0
1999-05-13,39,1,3,"REPS",5339,0
1999-05-31,39,1,3,"REPS",5495,0
1999-06-01,39,1,3,"REPS",5639,0
1999-06-02,39,1,3,"REPS",5749,0
1999-06-03,39,1,3,"REPS",5935,0
1999-06-07,39,1,3,"REPS",6129,0
1999-06-08,39,1,3,"REPS",6259,0
1999-06-09,39,1,3,"REPS",6417,0
1999-06-10,39,1,3,"REPS",6655,0
1999-06-21,39,1,3,"REPS",6813,0
1999-06-22,39,1,3,"REPS",6979,0
1999-06-23,39,1,3,"REPS",7143,0
1999-06-24,39,1,3,"REPS",7365,0
1999-06-28,39,1,3,"REPS",7549,0
1999-06-29,39,1,4,"REPS",7677,0
1999-06-30,39,1,3,"REPS",7851,0
1999-08-09,39,1,4,"REPS",8061,0
1999-08-10,39,1,4,"REPS",8237,0
1999-08-11,39,1,4,"REPS",8355,0
1999-08-12,39,1,4,"REPS",8579,0
1999-08-23,39,1,4,"REPS",8765,0
1999-08-24,39,1,4,"REPS",8889,0
1999-08-25,39,1,4,"REPS",8991,0
1999-08-26,39,1,4,"REPS",9173,0
1999-08-30,39,1,4,"REPS",9321,0
1999-08-31,39,1,4,"REPS",9447,0
1999-09-01,39,1,4,"REPS",9565,0
1999-09-02,39,1,4,"REPS",9747,0
1999-09-20,39,1,4,"REPS",9905,0
1999-09-21,39,1,4,"REPS",10025,0
1999-09-22,39,1,4,"REPS",10143,0
1999-09-23,39,1,4,"REPS",10339,0
1999-09-27,39,1,4,"REPS",10495,0
1999-09-28,39,1,4,"REPS",10741,0
1999-09-29,39,1,4,"REPS",10849,0
1999-09-30,39,1,4,"REPS",11031,0
1999-10-11,39,1,4,"REPS",11179,0
1999-10-12,39,1,4,"REPS",11295,0
1999-10-13,39,1,4,"REPS",11411,0
1999-10-14,39,1,4,"REPS",11561,0
1999-10-18,39,1,4,"REPS",11697,0
1999-10-19,39,1,4,"REPS",11817,0
1999-10-20,39,1,4,"REPS",11917,0
1999-10-21,39,1,4,"REPS",12095,0
1999-11-22,39,1,4,"REPS",12237,0
1999-11-23,39,1,4,"REPS",12359,0
1999-11-24,39,1,4,"REPS",12463,0
1999-11-25,39,1,4,"REPS",12611,0
1999-12-06,39,1,4,"REPS",12787,0
1999-12-07,39,1,4,"REPS",12925,0
1999-12-08,39,1,4,"REPS",13015,0
1999-12-09,39,1,4,"REPS",13193,0
2000-02-15,39,1,5,"REPS",3421,0
2000-02-16,39,1,5,"REPS",13513,0
2000-02-17,39,1,5,"REPS",13723,0
2000-03-06,39,1,5,"REPS",13897,0
2000-03-07,39,1,5,"REPS",14019,0
2000-03-08,39,1,5,"REPS",14101,1
2000-03-09,39,1,5,"REPS",14273,0
2000-03-13,39,1,5,"REPS",14401,0
2000-03-14,39,1,5,"REPS",14591,0
2000-03-15,39,1,5,"REPS",14701,0
2000-03-16,39,1,5,"REPS",845,0
2000-04-03,39,1,5,"REPS",14987,0
2000-04-04,39,1,5,"REPS",5113,0
2000-04-05,39,1,5,"REPS",15221,0
2000-04-06,39,1,5,"REPS",5389,0
2000-04-10,39,1,5,"REPS",15531,0
2000-04-11,39,1,5,"REPS",5659,0
2000-04-12,39,1,5,"REPS",15749,0
2000-04-13,39,1,5,"REPS",15889,0
2000-05-09,39,1,6,"REPS",16039,0
2000-05-10,39,1,6,"REPS",16123,0
2000-05-11,39,1,6,"REPS",16251,0
2000-05-29,39,1,6,"REPS",16381,0
2000-05-30,39,1,6,"REPS",16521,0
2000-05-31,39,1,6,"REPS",16625,0
2000-06-01,39,1,6,"REPS",16797,0
2000-06-05,39,1,6,"REPS",16947,0
2000-06-06,39,1,6,"REPS",17073,0
2000-06-07,39,1,6,"REPS",17163,0
2000-06-08,39,1,6,"REPS",17369,0
2000-06-19,19,1,6,"REPS",17549,0
2000-06-20,39,1,6,"REPS",17689,0
2000-06-21,39,1,6,"REPS",17803,0
2000-06-22,39,1,6,"REPS",18027,0
2000-06-26,39,1,6,"REPS",18171,0
2000-06-27,39,1,6,"REPS",18295,0
2000-06-28,39,1,6,"REPS",18393,0
