"","title","page.no","body","fedchamb_flag","sub1_flag","sub2_flag"
"1","MINISTRY",9565,"MINISTRY",0,0,0
"2","Presentation",9565,"Presentation",0,1,0
"3","COMMITTEES",9567,"COMMITTEES",0,0,0
"4","Intelligence and Security Joint Committee",9567,"Intelligence and Security Joint Committee",0,1,0
"5","National Disability Insurance Scheme Joint Committee",9567,"National Disability Insurance Scheme Joint Committee",0,1,0
"6","Government Response to Report",9567,"Government Response to Report",0,0,1
"7","Report",9567,"Report",0,0,1
"8","BUSINESS",9569,"BUSINESS",0,0,0
"9","REGULATIONS AND DETERMINATIONS",9569,"REGULATIONS AND DETERMINATIONS",0,0,0
"10","Rearrangement",9569,"Rearrangement",0,1,0
"11","Australian Renewable Energy Agency (Implementing the Technology Investment Roadmap) Regulations 2021",9569,"Australian Renewable Energy Agency (Implementing the Technology Investment Roadmap) Regulations 2021",0,1,0
"12","Disallowance",9569,"Disallowance",0,0,1
"13","BILLS",9575,"BILLS",0,0,0
"14","Counter-Terrorism Legislation Amendment (High Risk Terrorist Offenders) Bill 2020",9575,"Counter-Terrorism Legislation Amendment (High Risk Terrorist Offenders) Bill 2020",0,1,0
"15","Second Reading",9575,"Second ReadingConsideration resumed of the motion:That this bill be now read a second time.",0,0,1
"16","STATEMENTS BY MEMBERS",9580,"STATEMENTS BY MEMBERS",0,0,0
"17","Youth Voice in Parliament Week",9580,"Youth Voice in Parliament Week",0,1,0
"18","Flynn Electorate: Economy",9581,"Flynn Electorate: Economy",0,1,0
"19","Youth Voice in Parliament Week",9581,"Youth Voice in Parliament Week",0,1,0
"20","North Sydney Electorate: Longueville Tennis Club",9581,"North Sydney Electorate: Longueville Tennis Club",0,1,0
"21","Youth Voice in Parliament Week",9582,"Youth Voice in Parliament Week",0,1,0
"22","Barker Electorate: Little Town Productions",9582,"Barker Electorate: Little Town Productions",0,1,0
"23","Cambodia: Human Rights",9582,"Cambodia: Human Rights",0,1,0
"24","Grey Electorate: Eyre Peninsula Advocate",9583,"Grey Electorate: Eyre Peninsula Advocate",0,1,0
"25","Youth Voice in Parliament Week",9583,"Youth Voice in Parliament Week",0,1,0
"26","Youth Voice in Parliament Week",9583,"Youth Voice in Parliament Week",0,1,0
"27","Youth Voice in Parliament Week",9583,"Youth Voice in Parliament Week",0,1,0
"28","Social Media",9584,"Social Media",0,1,0
"29","Broadband",9584,"Broadband",0,1,0
"30","Magill Road and Portrush Road Intersection Upgrade",9584,"Magill Road and Portrush Road Intersection Upgrade",0,1,0
"31","JobKeeper Payment",9585,"JobKeeper Payment",0,1,0
"32","Townsville City Deal",9585,"Townsville City Deal",0,1,0
"33","National Integrity Commission",9585,"National Integrity Commission",0,1,0
"34","Forde Electorate: Beenleigh Cane Festival",9586,"Forde Electorate: Beenleigh Cane Festival",0,1,0
"35","COVID-19: Homeschooling",9586,"COVID-19: Homeschooling",0,1,0
"36","Space Industry: Crystalaid",9586,"Space Industry: Crystalaid",0,1,0
"37","QUESTIONS WITHOUT NOTICE",9587,"QUESTIONS WITHOUT NOTICE",0,0,0
"38","Climate Change",9587,"Climate Change",0,1,0
"39","COVID-19: National Plan",9587,"COVID-19: National Plan",0,1,0
"40","Climate Change",9588,"Climate Change",0,1,0
"41","Infrastructure",9589,"Infrastructure",0,1,0
"42","Climate Change",9590,"Climate Change",0,1,0
"43","Climate Change",9590,"Climate Change",0,1,0
"44","Economy",9591,"Economy",0,1,0
"45","Climate Change",9591,"Climate Change",0,1,0
"46","COVID-19",9592,"COVID-19",0,1,0
"47","Economy",9592,"Economy",0,1,0
"48","Defence",9593,"Defence",0,1,0
"49","Climate Change",9594,"Climate Change",0,1,0
"50","Energy",9594,"Energy",0,1,0
"51","Climate Change",9595,"Climate Change",0,1,0
"52","Agriculture",9596,"Agriculture",0,1,0
"53","Climate Change",9597,"Climate Change",0,1,0
"54","Defence Industry",9597,"Defence Industry",0,1,0
"55","Rural and Regional Services: Climate Change",9598,"Rural and Regional Services: Climate Change",0,1,0
"56","Home Guarantee Scheme",9598,"Home Guarantee Scheme",0,1,0
"57","Climate Change",9599,"Climate Change",0,1,0
"58","COVID-19: Child Care",9600,"COVID-19: Child Care",0,1,0
"59","Regional Australia",9600,"Regional Australia",0,1,0
"60","Antarctica",9601,"Antarctica",0,1,0
"61","DOCUMENTS",9602,"DOCUMENTS",0,0,0
