"order","page.no","time.stamp","name","name.id","electorate","party","in.gov","first.speech","text","fedchamb_flag","question","answer","sub1_flag","sub2_flag"
1,10165,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
              ",0,0,0,0,1
2,10165,"","King, Catherine, MP","00AMR","Ballarat","ALP","","","
              ",0,0,0,0,1
3,10169,"","Mitchell, Rob (The DEPUTY SPEAKER)","M3E","McEwen","ALP","","","
            ",0,0,0,1,0
4,10170,"","Mr Bowen interjecting—","","","","","","
            ",0,0,0,1,0
5,10171,"","DEPUTY SPEAKER, The","10000","","","","","
            ",0,0,0,1,0
6,10171,"","Steggall, Zali MP","175696","Warringah","IND","","","
            ",0,0,0,1,0
7,10171,"","DEPUTY SPEAKER, The","10000","","","","","
            ",0,0,0,1,0
8,10172,"","Mitchell, Rob (The DEPUTY SPEAKER)","M3E","McEwen","ALP","","","
            ",0,0,0,1,0
9,10172,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,0,1,0
10,10178,"","Wallace, Andrew MP (The DEPUTY SPEAKER)","265967","Fisher","LNP","","","
              ",0,0,0,0,1
11,10178,"","Leigh, Andrew Keith MP","BU8","Fenner","ALP","","","
              ",0,0,0,0,1
12,10187,"","Wallace, Andrew MP (The DEPUTY SPEAKER)","265967","Fisher","LNP","","","
              ",0,0,0,0,1
13,10192,"","Mr Snowdon interjecting—","","","","","","
              ",0,0,0,0,1
14,10192,"","Vasta, Ross MP (The DEPUTY SPEAKER)","E0D","Bonner","LNP","","","
              ",0,0,0,0,1
15,10192,"","Snowdon, Warren Edward MP","IJ4","Lingiari","ALP","","","
              ",0,0,0,0,1
16,10198,"","DEPUTY SPEAKER, The","10000","","","","","
              ",0,0,0,0,1
17,10204,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,0,1,0
18,10205,"","Mr Albanese interjecting—","","","","","","
            ",0,0,1,1,0
19,10205,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
20,10207,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
21,10207,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
22,10207,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
23,10207,"","Albanese, Anthony, MP","R36","Grayndler","ALP","","","
            ",0,0,1,1,0
24,10207,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
25,10207,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
26,10207,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
27,10207,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
28,10208,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
29,10211,"","Mr Burke interjecting—","","","","","","
            ",0,0,1,1,0
30,10211,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
31,10211,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
32,10211,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
33,10211,"","Burke, Tony MP","DYW","Watson","ALP","","","
            ",0,0,1,1,0
34,10211,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
35,10214,"","Mr Albanese interjecting—","","","","","","
            ",0,0,1,1,0
36,10214,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
37,10214,"","Burke, Tony MP","DYW","Watson","ALP","","","
            ",0,0,1,1,0
38,10214,"","Albanese, Anthony, MP","R36","Grayndler","ALP","","","
            ",0,0,1,1,0
39,10214,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
40,10214,"","Mr Albanese interjecting—","","","","","","
            ",0,0,1,1,0
41,10214,"","Smith, Tony MP (The SPEAKER)","00APG","Casey","LP","","","
            ",0,0,1,1,0
