"name","order","index","page.no","time.stamp","name.id","electorate","party","in.gov","first.speech","body","fedchamb_flag","sub1_flag","sub2_flag","question","answer","has_interject"
"Smith, Tony MP (The SPEAKER)",1,1,10155,"09:31","00APG","Casey","LP","","","I present report No. 40 of the Selection Committee relating to the consideration of committee and delegation business and private members' business on Monday, 22 November 2021. The report will be printed in the Hansard for today, and the committee's determinations will appear on tomorrow's Notice Paper. Copies of the report have been placed on the table.The report read as follows-Report relating to the consideration of committee and delegation business and of private Members' business1. The Committee met in private session on Tuesday, 26 October 2021.2. The Committee deliberated on items of committee and delegation business that had been notified, private Members' business items listed on the Notice Paper and notices lodged on Tuesday, 26 October 2021, and determined the order of precedence and times on Monday, 22 November 2021 as follows:Items for House of Representatives Chamber (10.10 am to 12 noon)PRIVATE MEMBERS' BUSINESSNotices1   Mr Wilkie: To present a Bill for an Act to amend the Commonwealth Electoral Act 1918, and for related purposes. (Commonwealth Electoral Amendment (Cleaning up Political Donations) Bill 2021)
                       (Notice given 15 June 2021.)Presenter may speak to the second reading for a period not exceeding 10 minutes-pursuant to standing order 41. Debate must be adjourned pursuant to standing order 142.2   Mr Leeser: To present a Bill for an Act to amend the law relating to telecommunications, and for related purposes. (Telecommunications Reform (Telstra, NBN and Other Providers) Bill 2021)   (Notice given 26 October 2021.)Presenter may speak to the second reading for a period not exceeding 10 minutes-pursuant to standing order 41. Debate must be adjourned pursuant to standing order 142.3   Mr Albanese: To present a Bill for an Act to give Australian workers the right to same job, same pay, and for related purposes. (Fair Work Amendment (Same Job, Same Pay) Bill 2021)   (Notice given 26 October 2021.)Presenter may speak to the second reading for a period not exceeding 10 minutes-pursuant to standing order 41. Debate must be adjourned pursuant to standing order 142.4   Ms Sharkie: To present a Bill for an Act to amend the Customs Act 1901, and for related purposes. (Customs Amendment (Banning Goods Produced By Forced Labour) Bill 2021 (No. 2))   (Notice given 26 October 2021.)Presenter may speak to the second reading for a period not exceeding 10 minutes-pursuant to standing order 41. Debate must be adjourned pursuant to standing order 142.5   Mr Vasta: To move:That this House:(1) notes that the Government's support for child care helped Australian families during the height of the coronavirus pandemic and continues to support families as our economy grows;(2) further notes that the latest data shows more than $3 billion has been provided through the pandemic to keep services viable, staff in work and children in care;(3) recognises that women's workforce participation has reached a record high of 61.8 per cent; and(4) further recognises that the Government is investing more than $10.3 billion in the child care system this year, helping more than 1.2 million families.
                       (Notice given 23 June 2021.)Time allotted-30
                    minutes.Speech time limits-Mr Vasta-5
                    minutes.Other Members-5 minutes. each.[Minimum number of proposed Members speaking = 6 x 5 mins]The Committee determined that consideration of this should continue on a future day.6   Mr Husic: To move:That this House:(1) recognises that 2021 marks 75 years since the establishment of diplomatic relations between Australia and the Philippines;(2) celebrates the strength of the bilateral diplomatic relations between Australia and the Philippines over those 75 years;(3) reaffirms the strong relationship between Australia and the Philippines; and(4) acknowledges the importance of effective diplomatic relations with the Philippines, which are underpinned by our shared history and deep enduring relationship.
                       (Notice given 21 June 2021.)Time allotted-remaining private Members' business time prior to 12 noon.Speech time limits-Mr Husic-5
                    minutes.Other Members-5 minutes. each.[Minimum number of proposed Members speaking = 8 x 5 mins]The Committee determined that consideration of this should continue on a future day.Items for Federation Chamber (11 am to 1.30 pm)PRIVATE MEMBERS' BUSINESSOrders of the day1 International Day of Solidarity with the Palestinian People : Resumption of debate (from 25 October 2021-Mr Sharma, in continuation) on the motion of ",0,0,1,0,0,0
"Hayes, Chris MP",2,1,10155,"09:31","ECV","Fowler","ALP","","","That this House:(1) notes that 29 November 2021 is the International Day of Solidarity with the Palestinian People as declared by the United Nations in 1977;(2) recognises the inalienable rights of the Palestinian people, including their right to self determination and a future built on peace, dignity, justice and security;(3) acknowledges the obstacles to the ongoing peace process, particularly the need for urgent action on issues such as settlements, Jerusalem, the Gaza blockade and the humanitarian situation in the occupied Palestinian territories;(4) further recognises that the ongoing humanitarian situation in Palestine is far-reaching, with many in the Australian community affected by this ongoing conflict; and(5) calls on the Government to ensure Australia is working constructively to support security and human rights in Palestine, in advance of a just and enduring two-state solution in the Middle East.Time allotted-30
                    minutes.Speech time limits-All Members-5 minutes. each.[Minimum number of proposed Members speaking = 6 x 5 mins]The Committee determined that consideration of this should continue on a future day.Notices1   Mr van Manen: To move:That this House:(1) notes the Government's ongoing commitment to improving road safety through the establishment of the Road Safety Program (RSP);(2) recognises that the RSP supports the fast roll out of lifesaving road safety treatments on rural and regional roads and greater protection for vulnerable road users, like cyclists and pedestrians, in urban areas;(3) commends the Government for its funding in the recent budget to provide $3 billion over three years from 2020-21; and(4) acknowledges the 'use it or lose it' provision as part of the funding, requiring states and territories to use their funding within each six month tranche in order to receive their full allocation of funding for the next tranche, unless exceptional circumstances exist.   (Notice given 23 June 2021.)Time allotted-40
                    minutes.Speech time limits-Mr van Manen-5 minutes.Other Members-5 minutes. each.[Minimum number of proposed Members speaking = 8 x 5 mins]The Committee determined that consideration of this should continue on a future day.2   Ms Ryan: To move:That this House:(1) acknowledges that:(a) over the past eight years of this Government, infrastructure funding to areas of growth has been neglected;(b) as revealed in September's Final Budget Outcome there has been another 12 months of broken infrastructure promises from the Government, with infrastructure spending totalling $656.5 million less than was promised; and(c) over eight long years of this Government, its infrastructure broken promises now total an incredible $7.4 billion;(2) recognises that this lack of funding has resulted in fewer roads, fewer public transport upgrades, longer commutes, less time at home and fewer jobs for Australians who need them; and(3) calls on the Government to provide adequate funding to infrastructure projects and build the roads and rail that Australians actually need.
                       (Notice given 25 October 2021.)Time allotted-50
                    minutes.Speech time limits-Ms Ryan-5
                    minutes.Other Members-5 minutes. each.[Minimum number of proposed Members speaking = 10 x 5 mins]The Committee determined that consideration of this should continue on a future day.3   Dr Allen: To move:That this House:(1) notes that:(a) Australia is continuing to display international leadership on the issue of HIV/AIDS by co-facilitating the 2021 United Nations General Assembly High Level Meeting on HIV and AIDS;(b) this meeting took place from 8 to 10 June and covered the progress which had been made in reducing the impact of HIV since the last High Level Meeting in 2016;(c) the High Level Meeting coincides with a meeting of public health and political leaders in Australia on 17 June to discuss Agenda 2025: Ending HIV transmission in Australia;(d) testing and treatment services combined with successful leadership from governments and civil society mean that progression from HIV to AIDS is now relatively rare in Australia;(e) action is still needed to address rising HIV transmission among First Nations, trans and gender diverse people, and other emerging high-risk population groups;(f) gay and bisexual men continue to bear the burden of Australia's HIV epidemic and ongoing health education among this population group is needed, and;(g) further bipartisan political action and leadership is required to meet our national target of ending HIV transmission in Australia.(2) recognises and acknowledges:(a) the Agenda 2025: Ending HIV transmission in Australia strategy outlines the commitments needed to make Australia one of the first countries to eliminate HIV;(b) the journey that people have made through their diagnosis, treatment and experiences of living with HIV;(c) the tremendous efforts of peer educators, healthcare professionals, researchers and scientists in developing treatment and prevention regimes that have improved the lives of people living with HIV;(d) the success of a bipartisan approach in Australia's health response; and(e) the tireless community advocates, civil society organisations and support groups that actively tackle stigma associated with HIV.
                       (Notice given 18 October 2021.)Time allotted-remaining private Members' business time prior to 1.30 pm.Speech time limits-Dr Allen-5
                    minutes.Other Members-5 minutes. each.[Minimum number of proposed Members speaking = 6 x 5 mins]The Committee determined that consideration of this should continue on a future day.Items for Federation Chamber (4.45 pm to 7.30 pm)PRIVATE MEMBERS' BUSINESSNotices-continued4   Dr Freelander: To move:That this House:(1) recognises that the early years are some of the most important in a child's life, in terms of their cognitive and social development;(2) notes that a child's health outcomes can be heavily influenced from the period of preconception, and the lives and lifestyles of both biological parents;(3) commends the work of Australian medical professionals who champion the First 1000 Days framework, a model that is aimed at improving the physical and mental health of parents from pre‑pregnancy and up until a child reaches two years of age; and(4) implores the Government to adopt a national approach to the First 1000 Days initiative, to improve health outcomes in our future generations.
                       (Notice given 25 October 2021.)Time allotted-40
                    minutes.Speech time limits-Dr Freelander-5
                    minutes.Other Members-5 minutes. each.[Minimum number of proposed Members speaking = 8 x 5 mins]The Committee determined that consideration of this should continue on a future day.5   Mr Goodenough: To move:That this House:(1) notes with concern the long standing religious persecution of members of the Baha'i Faith in Iran;(2) expresses alarm at the raids on Baha'i homes and businesses and the increase in court cases against Baha'is since the beginning of the coronavirus pandemic;(3) further calls on the Iranian Government to ensure that Baha'is enjoy the same rights as other citizens and that their belief and practice are not criminalised;(4) supports the 16 December 2020 resolution of the United Nations General Assembly which called on the Islamic Republic of Iran to uphold the human rights of all its citizens;(5) condemns the recent Iranian court judgments upholding the confiscation of homes and lands belonging to 27 Baha'is in the village of Ivel; and(6) calls on the Iranian judicial authorities to ensure that these lands and homes are restored to their rightful owners, and that no other Baha'i citizens have their properties confiscated due to their religion.
                       (Notice given 23 June 2021.)Time allotted-30
                    minutes.Speech time limits-Mr Goodenough-5
                    minutes.Other Members-5 minutes. each.[Minimum number of proposed Members speaking = 6 x 5 mins]The Committee determined that consideration of this should continue on a future day.6   Ms Sharkie: To move:That this House:(1) notes that:(a) a delegation from the Regional, Rural and Remote Communications Coalition (RRRCC) has approached Members of the 46th Parliament via a virtual delegation to highlight priorities for improving regional telecommunications;(b) the RRRCC is a group of 21 like-minded organisations and advocacy bodies which have joined together to highlight their collective concern about the lack of equitable access to reliable and quality telecommunication in regional Australia;(c) telecommunications is an essential service in a modern world, supporting social connectivity, business activity, and the delivery of health and education services;(d) every Australian, irrespective of where they live or work, should have access to quality, reliable, and affordable voice and data services with customer support guarantees; and(e) there is ongoing inequity in the access to telecommunications experienced by Australians living in regional, rural, and remote areas, compared to their urban counterparts; and(2) calls upon the Government to ensure that regional, rural, and remote Australia is best positioned to retain people and grow in the long term, by:(a) establishing a rural, regional and remote communications fund to resource ongoing investment in regional telecommunications through the Mobile Black Spot Program, Regional Connectivity Program and through state and territory co-investment programs;(b) continuing its commitment to expanding the mobile network in regional Australia through the Mobile Black Spot Program or a similar program, (such programs must continue to promote competition by requiring open access for all networks and the criteria for such programs reflect changing technologies and commercial circumstances);(c) ensuring no mobile network user is disadvantaged by the switching off of the 3G network;(d) having the Australian Communications and Media Authority investigate and monitor widespread mobile outages in regional and remote Australia, and the reliability of mobile infrastructure;(e) ensuring there are adequate upgrade plans and pathways for regional Australians using ADSL services that provide access to higher quality or equivalent fixed broadband services;(f) bringing about further enhancements to NBN Sky Muster in order to reflect consumer and small business needs, including more affordable plans, and a mobility product;(g) legislating telecommunications as an essential service in all states and territories, recognising telecommunications providers as 'essential users' in natural disaster areas, and ensuring the rollout of NBN Disaster Satellite Services appropriately complement MBSP 5A upgrades to power supplies at base stations;(h) ensuring any alternative technologies for voice service delivery be proven to have greater reliability and performance quality for regional, rural, and remote consumers;(i) creating appropriate minimum service guarantees and performance benchmarks for connection, fault repair and appointment keeping timeframes for NBN and other statutory infrastructure providers, (these obligations and timeframes must support maximum connectivity during natural disaster events and customers must be adequately compensated when baseline timeframes are exceeded);(j) introducing adequate performance quality metrics for all services, including NBN Sky Muster, monitored against independent benchmarks;(k) committing to funding the regional tech hub service beyond the current one-year funding period, and working with the RRRCC and state and local governments to identify and deliver digital capacity building needs beyond the remit of the regional tech hub project;(l) creating a targeted, concessional NBN broadband service to support low-income residents in regional, rural and remote areas, and reconfiguring the existing telecommunication allowance to meet the needs of low-income, mobile-only consumers;(m) supporting remote communities, in particular Aboriginal and Torres Strait communities, to have access to affordable telecommunications equipment so they can maximise access to services such as medical services; and(n) requiring retail service providers to be transparent about the limitations of the more affordable services they provide to low-income consumers.
                       (Notice given 25 October 2021.)Time allotted-40
                    minutes.Speech time limits-Ms Sharkie-5
                    minutes.Other Members-5 minutes. each.[Minimum number of proposed Members speaking = 8 x 5 mins]The Committee determined that consideration of this should continue on a future day.7   Mr Connelly: To move:That this House:(1) recognises the benefits a career in the Australian Defence Force provides through skills, education, training and experience;(2) notes:(a) the Australian Defence Force's objective to protect Australia and that those recruited to deliver on this objective put their lives on the line for our country; and(b) that Defence recruits the best and brightest and offers varying pathways for individuals to join and serve our nation; and(3) acknowledges the sacrifice our personnel and their families make for a career in the Australian Defence Force and our nation's eternal gratitude for all those who have served past and present.   (Notice given 18 October 2021.)Time allotted-remaining private Members' business time prior to 7.30 pm.Speech time limits-Mr Connelly-5
                    minutes.Other Members-5 minutes. each.[Minimum number of proposed Members speaking = 11 x 5 mins]The Committee determined that consideration of this should continue on a future day.THE HON A. D. H. SMITH MPSpeaker of the House of Representatives27 October 2021",0,0,1,0,0,1
"Smith, Tony MP (The SPEAKER)",3,2,10160,"09:31","00APG","Casey","LP","","","I present the report of the Australian Parliamentary Delegation to the 65th annual session of the NATO Parliamentary Assembly in London from 12 to 14 October 2019.",0,1,0,0,0,0
"Sukkar, Michael MP",4,3,10160,"09:32","242515","Deakin","LP","","","I move:That this bill be now read a second time.This bill implements a number of measures which will improve the flexibility and equity of the superannuation system, assist first home buyers, reduce costs and complexity for self-managed superannuation funds and support Australian businesses to invest.Schedule 1 removes the subsection in the Superannuation Guarantee Administration Act 1992 which exempts an employer from their obligation to pay the superannuation guarantee if their employee's earnings are less than $450 in a calendar month.This exemption was introduced in 1992 to reduce the administrative burden on employers, however significant technological advancements in recent years have significantly diminished this burden. Importantly, recent superannuation reforms, such as the Protecting Your Super package, have also reduced the eroding impact of high fees and insurance premiums on small superannuation balances, paving the way for the removal of the $450 rule.The removal of this threshold will improve equity in the superannuation system and increase the retirement savings of around 300,000 low-income workers employed in casual or part-time roles, around two-thirds of which are women.Schedule 2 increases the maximum amount of voluntary contributions that can be released under the First Home Super Saver Scheme from $30,000 to $50,000. Other policy settings, including the $15,000 annual limit on eligible contributions, will not be changed.This increase recognises that deposit requirements have increased with house price growth over recent years and this change will help first home buyers to save a deposit more quickly.Schedule 3 reduces the eligibility age to make downsizer contributions into superannuation from 65, at present, to 60 years of age.This will allow more Australians nearing retirement to make a one-off post-tax contribution of up to $300,000 per person when they sell their family home.It will improve flexibility for older Australians to contribute to their superannuation savings. This may encourage more older Australians to downsize to homes that better meet their needs, ultimately increasing the supply of larger homes for young families.Schedule 4 supports the repeal of the work test for nonconcessional and salary sacrificed contributions to superannuation which will be implemented through changes to the Superannuation Industry (Supervision) Regulations 1994 and Retirement Savings Accounts Regulations 1997.  To that end, schedule 4 amends the Income Tax Assessment Act 1997 to preserve the work test for personal deductible contributions made by individuals aged between 67 and 75. It will also make amendments necessary to allow eligible individuals to make nonconcessional superannuation contributions under the bring-forward rule. These changes will improve flexibility for older Australians to make or receive contributions to their superannuation. It will allow retirees, who have not had the benefits of a mature super system throughout their working life, and may have accumulated savings outside of super, to get more out of the super system.The changes build on the government's previous reforms to the age rules on superannuation contributions, further increasing the ability of older Australians to make contributions to their superannuation.Schedule 5 will reduce red tape and costs for self-managed superannuation funds and small APRA regulated funds by providing trustees with greater choice in how they calculate exempt current pension income.Trustees will be allowed to use the proportionate method to calculate their exempt current pension income when their fund is fully in the retirement phase for part of, but not the entire, income year. This delivers on a 2019-20 budget commitment to simplify reporting for these funds by streamlining administrative requirements for these calculations.Schedule 6 extends the temporary full expensing measure introduced by the government in the 2020-21 budget by a further 12 months. Rather than ending on 30 June 2022, eligible businesses will now be able to take advantage of the incentive until 30 June 2023.This will allow businesses with aggregated annual turnover or total income of less than $5 billion to deduct the full cost of eligible depreciable assets acquired from 7.30 pm on 6 October 2020 and first used or installed ready for use by 30 June 2023.This will continue to support our economic recovery by encouraging businesses to make further investments. The time limited nature of the measure provides a strong incentive to bring forward investment projects before it expires. All other elements of the temporary full expensing measure remain unchanged, including eligibility. Full details of the measure are contained in the explanatory memorandum. ",0,0,1,0,0,0
"Sukkar, Michael MP",5,3,10160,"09:32","242515","Deakin","LP","","","Debate adjourned.",0,0,1,0,0,0
"Sukkar, Michael MP",6,4,10161,"09:39","242515","Deakin","LP","","","I move:That this bill be now read a second time.The Corporations Amendment (Improving Outcomes for Litigation Funding Participants) Bill 2021 will ensure that ordinary Australians who seek justice through the class actions system receive a fair and reasonable portion of the proceeds of successful class actions supported by a litigation funder. Australia's class action regime and litigation funding regimes must provide fair and equitable outcomes for all Australians. Yet, all too often, the current system does not meet these benchmarks. The recent decision of the Victorian Supreme Court in the Banksia Securities Ltd case is a stark reminder of the egregious conduct that can occur when those who work in the legal system lose sight of the best interests of their clients. As the Victorian Supreme Court noted, such conduct 'corrupted the proper administration of justice.'The government has long been concerned by the returns being made by litigation funders at the expense of class members. In 2019 the Australian Law Reform Commission found when litigation funders were involved in a class action the median return to plaintiffs was just 51 per cent. Conversely, when a funder was not involved, the median return was 85 per cent. Last year, the Parliamentary Joint Committee on Corporations and Financial Services concluded that in many cases litigation funders appear to be making windfall profits that are disproportionate to the costs incurred and the risks undertaken in the relevant proceedings.These findings are echoed by judgements of the courts. Just this year, in the case of Cheryl Wittenbury v Vocation Ltd, together the lawyers and funders received nearly 50 per cent of the settlement sum. Such a state of affairs runs counter to the compensatory nature of the class-action system, which is primarily designed to vindicate the rights of class members.This bill achieves a number of key objectives therefore. First, the bill requires claimants to agree in writing to be members of a scheme and to be bound by the scheme's constitution. This requirement for active consent will incentivise book building by litigation funders and ensure that claimants who do not want to participate in a class action do not need to actively opt out.Second, the bill requires a court to approve or vary the proposed distribution of claim proceeds to ensure that members of the class-action litigation funding scheme receive a fair and reasonable share. In assessing this, the bill will establish a rebuttable presumption that a distribution would not meet this statutory threshold if more than 30 per cent of the claim proceeds in total is to be paid or distributed to nonmembers of the scheme, such as distributed to the funders or lawyers. It will also require the court to consider a number of factors, including the funders' commercial return compared to the reasonable costs to the funder incurred for the proceedings. This provides a clear signal that the community expects that the primary purpose of the class-action regime is to vindicate the rights of ordinary Australians. At the same time, the flexibility of the court to do justice in a particular matter will be preserved.Third, to assist courts in navigating the complexities of legal costs and funder commissions, the bill ensures that courts consider the reports of independent experts in the representations of contradictors representing the interests of scheme members when appointed. This bill provides that the costs of these experts are borne by funders, unless the court determines otherwise.Fourth, this bill will reduce the use of common fund orders as a way of funders to expand their portion of the settlement by extending their commission rate to all members of a class, including those that have not agreed to sign a funding agreement. The bill does not bar the court from making an order to share the costs of a proceeding amongst all members who benefit from the action though. The use of common fund orders by courts is a mechanism to amend the funding commission rate has now been superseded by the bill's express power to vary the funding agreement. Jointly, the proposed bill and current court orders provide a solution to the free-rider problem but, at the same time, preventing those windfall gains to litigation funders.Finally, the bill seeks to implement a consistent approach to class actions across all jurisdictions. This will maximise protection for class members throughout Australia. The bill adopts an expansive approach seeking to extend protection to class-action litigation funding schemes for class actions in any Australian court. This avoids the risk of forum shopping by funders filing in courts which do not have the same level of protection for class members.This bill and its reforms will ensure that Australia's class-action system operates as originally intended whilst ensuring the viability of litigation funding agreements that provide ordinary Australians with access to justice. The Legislative and Governance Forum on Corporations was consulted in relation to the bill, as is a requirement of the Corporations Agreement 2002, and, as always, full details of these measures are contained in the explanatory memorandum.
                    Debate adjourned.",0,0,1,0,0,0
"Howarth, Luke MP",7,5,10163,"09:45","247742","Petrie","LNP","","","I move:That this bill be now read a second time.This bill will amend the primary legislation for the National Redress Scheme for Institutional Child Sexual Abuse (the scheme). The amendments form part of the government's response to recommendations from the Final report: second year review of the National Redress Scheme (the review) undertaken by Ms Robyn Kruk AO.The amendments increase access to the scheme for survivors of institutional child sexual abuse by expanding funder-of-last-resort arrangements and form part of the government's ongoing commitment to improving the scheme. The scheme was established in response to the recommendations of the Royal Commission into Institutional Responses to Child Sexual Abuse (the royal commission). The scheme was established by the National Redress Scheme for Institutional Child Sexual Abuse Act 2018 (the act). The scheme's legislation requires that a review of the operation of the scheme be undertaken following the second and eighth anniversaries of the scheme. The Final report: second year review of the National Redress Scheme,presented byMs Robyn Kruk AO, makes 38 recommendations to increase access to redress, including through expanding funder-of-last-resort arrangements, and to improve the scheme's operation, making it more trauma-informed, efficient and ultimately more survivor focused. In undertaking the review, survivor voices were front and centre, and Ms Kruk consulted extensively with survivors, advocacy groups, support services, institutions and Commonwealth and state and territory governments. It is essential that the needs of survivors are being met; that the scheme is operating effectively; and that the unique and evolving challenges in administering such a measure are being addressed. This year, the parliament passed two separate pieces of legislation to improve the scheme. The first piece of legislation addressed minor and technical issues associated with the administration of the scheme. The second piece of legislation was in direct response to recommendations made as part of the second year review. This legislation made survivor focused improvements as an initial tranche of action on review recommendations. The second piece of legislation provided for an advance payment of $10,000 for elderly and terminally ill applicants, changed the indexation arrangements to be fairer for applicants, removed the requirement to provide a statutory declaration when making an application, enabled an extension of time a person has to accept their offer of redress or request a review, and authorised redress to be paid in instalments at an applicant's request. The scheme's establishment is an acknowledgement by the Australian government and state and territory governments that sexual abuse suffered by children in institutional settings was wrong, a betrayal of trust, and should never have happened.The scheme is an important step towards healing and provides a monetary payment as a tangible means of recognising the wrong survivors have suffered; access to counselling or psychological services; and a direct personal response from the institutions responsible where a survivor wants that to occur.Over the past three years, the scheme has secured the participation of all states and territories, and as of 15 October this year, 526 non-government institutions are participating in the scheme. This means the scheme now covers over 69,000 sites across Australia. In addition nearly 6,400 payments totalling over $551 million have been paid to survivors to date.Unfortunately, some survivors continue to be unable to access redress through the scheme because their institution is not participating. This may be due to a number of factors, including their refusal to join, or that they no longer exist.The government remains committed to encouraging all institutions named in applications to fulfil their moral obligation to join the scheme. For those institutions that choose not to join the scheme, the government has introduced financial consequences, in order to encourage them to join. This includes institutions being restricted from accessing future Commonwealth grant funding and possible loss of their charitable status and associated tax concessions. It is important that where an institution can join the scheme, that it does so as a matter of urgency and takes responsibility for past abuse by providing redress to survivors.Some survivors are unable to access redress through the scheme as the institution responsible for their abuse no longer exists, or the institution cannot meet the necessary requirements to be participate in the scheme. Currently, applications from these survivors cannot be progressed, and this is why changes to the scheme's funder-of-last-resort provisions are critical.The Australian government recognises the views of survivors and other key stakeholders and has listened to the concerns raised. We are prioritising initial action on 25 of the 38 review recommendations in full or in part and investing over $80 million over four years in the 2021-22 budget to support implementation of these recommendations. Following the government's interim response to the review the parliament passed an initial package of legislative amendments, as I have outlined. The more substantial changes recommended by the review required further negotiations with state and territory governments as scheme partners and consultation with survivors and their advocates. This bill reflects the next legislative changes in response to the review. It expands funder-of-last-resort arrangements, a significant recommendation made as part of the second-year review and one in which the government has been very public in its support for. The bill also strengthens the legislative basis on which institutions are publicly named as having not joined the scheme.
                    Funder of last resortCurrently, a person can only access redress under funder-of-last-resort arrangements where a government is equally responsible for the abuse of the person. This bill recognises that regardless of whether a government was involved in the abuse of the person, where the institution responsible for the abuse no longer exists, the affected survivors should have the opportunity to access redress. As such, this bill expands the funder-of-last-resort arrangements to allow state and territory governments to be a funder of last resort in this circumstance. Wherever possible, an overarching institution that is affiliated with the defunct institution will be called on to take responsibility. However, where there is no such parent institution, governments can step in and enable access to redress.The bill also provides that a government can be a funder of last resort for an institution that is unable to meet the legislative requirements to participate in the scheme. Presently, an institution cannot be declared as participating in the scheme unless there are reasonable grounds to expect that they can discharge their liabilities and obligation under the scheme. An institution that does not have the financial capacity to pay its redress liabilities would not meet this requirement. There are currently 21 institutions listed on the scheme's website that fall within this category of not meeting the legislative requirements to participate. This means survivors naming these institutions in their applications cannot currently access redress. Expanding funder-of-last-resort arrangements in these circumstances is the right thing to do for survivors.The bill provides the ability for these institutions to partly participate in the scheme. Although unable to fund their redress liability, partly participating institutions can perform other important functions including providing a direct personal response to survivors. This recognises that many institutions want to do the right thing by survivors and do what they can to ensure a survivor can access all three parts of redress available through the scheme. The Australian government will contribute half of the funding for the expanded funder-of-last-resort arrangements, under a 50-50 cost-shared model with the relevant state and territory governments. This demonstrates the Australian government's commitment to ensuring as many survivors as possible can access redress. The expanding funder-of-last-resort arrangements aligns with recommendation 5.1 of the second year review that allows governments to become a funder of last resort for survivors that would otherwise be unable to access redress or pursue compensation through the civil legal system. These arrangements will not cover institutions that can join the scheme but choose not to. These institutions should join and provide survivors with the redress that they deserve. Institutions shirking their moral obligations will continue to be encouraged to join the scheme, will be publicly named, and will be subject to the financial consequences mentioned earlier.
                    Public naming institutions that do not join the scheme Institutions named in applications to the scheme that have not joined within a reasonable time frame are publicly named on the scheme's website. Publicly naming institutions provides survivors who have applied for redress, and those considering applying for redress, with information on the institutions' participation in the scheme and is a lever to further encourage institutions to join the scheme.The bill provides that institutions named in applications to the scheme, or institutions the scheme operator has a reasonable belief has a connection with the abuse of the person, can be publicly named if they do not join. The measure does not change the existing naming practice. It provides a stronger and more administratively efficient basis to publicly name institutions, as well as making it clear to institutions that they will be publicly named should they be able to join the scheme, but choose not to join. This measure supports increased institutional participation in the scheme, which in turn will allow more survivors to access redress. The government has worked extensively with the states and territories on this bill, and in line with the scheme's governance arrangements, all state and territory governments have agreed to the amendments. This bill is a second tranche of legislative amendments to the National Redress Scheme for Institutional Child Sexual Abuse Act 2018following the review. The Australian government is pleased to outline the important measures in this bill and will continue to work with scheme stakeholders to bring forward further improvements in response to the recommendations of the review for the benefit of survivors. ",0,0,1,0,0,0
"Howarth, Luke MP",8,5,10163,"09:45","247742","Petrie","LNP","","","Debate adjourned. ",0,0,1,0,0,0
"Gorman, Patrick MP",9,6,10165,"09:58","74519","Perth","ALP","","","by leave-I move:That the House:(1) notes the legal action taken in the Federal Court of Australia by ClubsNSW against Mr Troy Stolz, known as Registered Clubs Association of New South Wales v Stolz;(2) notes the report of the Standing Committee of Privileges and Members' Interests on its inquiry into whether the legal action raises issues of parliamentary privilege or contempt such that the House should formally claim privilege and intervene in the court proceedings to assert the protection of parliamentary privilege;(3) considers that email communications relating to ClubsNSW between the office of the Member for Clark and Mr Stolz, between 17 December 2019 and 1 December 2020, are likely to fall within the definition of 'proceedings of Parliament' under subsection 16(2) of the Parliamentary Privileges Act 1987 (the Act);(4) notes the restrictions placed by subsection 16(3) of the Act on the treatment of proceedings in Parliament;(5) acknowledges that interpretation of the Act, and therefore determination of the application of parliamentary privilege in court proceedings, is a matter for the courts; and(6) authorises the Speaker to take steps to ensure that the interests of the House are represented in this matter before the courts, such that parliamentary proceedings are appropriately protected as provided by the Act.",0,0,1,0,0,0
"Smith, Tony MP (The SPEAKER)",10,6,10165,"09:58","00APG","Casey","LP","","","Is the motion seconded?Ms Catherine King:  I second the motion and reserve my right to speak.",0,0,1,0,0,0
