"order","title","page.no","body","fedchamb_flag","sub1_flag","sub2_flag"
1,"COMMITTEES",10155,"COMMITTEES",0,0,0
2,"Selection Committee",10155,"Selection Committee",0,1,0
3,"Report",10155,"Report",0,0,1
4,"DELEGATION REPORTS",10160,"DELEGATION REPORTS",0,0,0
5,"BILLS",10160,"BILLS",0,0,0
6,"Australian Parliamentary Delegation to the 65th Annual Session of the NATO Parliamentary Assembly",10160,"Australian Parliamentary Delegation to the 65th Annual Session of the NATO Parliamentary Assembly",0,1,0
7,"Treasury Laws Amendment (Enhancing Superannuation Outcomes For Australians and Helping Australian Businesses Invest) Bill 2021",10160,"Treasury Laws Amendment (Enhancing Superannuation Outcomes For Australians and Helping Australian Businesses Invest) Bill 2021",0,1,0
8,"First Reading",10160,"First ReadingBill and explanatory memorandum presented by Mr Sukkar.Bill read a first time.",0,0,1
9,"Second Reading",10160,"Second Reading",0,0,1
10,"Corporations Amendment (Improving Outcomes for Litigation Funding Participants) Bill 2021",10161,"Corporations Amendment (Improving Outcomes for Litigation Funding Participants) Bill 2021",0,1,0
11,"First Reading",10161,"First ReadingBill and explanatory memorandum presented by Mr Sukkar, for Mr Frydenberg.Bill read a first time.",0,0,1
12,"Second Reading",10161,"Second Reading",0,0,1
13,"National Redress Scheme for Institutional Child Sexual Abuse Amendment (Funders of Last Resort and Other Measures) Bill 2021",10163,"National Redress Scheme for Institutional Child Sexual Abuse Amendment (Funders of Last Resort and Other Measures) Bill 2021",0,1,0
14,"First Reading",10163,"First ReadingBill and explanatory memorandum presented by Mr Howarth, for Mr Robert.Bill read a first time.",0,0,1
15,"Second Reading",10163,"Second Reading",0,0,1
16,"COMMITTEES",10165,"COMMITTEES",0,0,0
17,"Privileges and Members' Interests Committee",10165,"Privileges and Members' Interests Committee",0,1,0
18,"Report",10165,"Report",0,0,1
19,"BUSINESS",10167,"BUSINESS",0,0,0
20,"Rearrangement",10167,"Rearrangement",0,1,0
21,"BILLS",10173,"BILLS",0,0,0
22,"Territories Stolen Generations Redress Scheme (Facilitation) Bill 2021, Territories Stolen Generations Redress Scheme (Consequential Amendments) Bill 2021",10173,"Territories Stolen Generations Redress Scheme (Facilitation) Bill 2021Territories Stolen Generations Redress Scheme (Consequential Amendments) Bill 2021",0,1,0
23,"Second Reading",10173,"Second ReadingCognate debate.Consideration resumed of the motion:That this bill be now read a second time.",0,0,1
24,"Territories Stolen Generations Redress Scheme (Consequential Amendments) Bill 2021",10175,"Territories Stolen Generations Redress Scheme (Consequential Amendments) Bill 2021",0,1,0
25,"Third Reading",10175,"Third Reading",0,0,1
26,"Second Reading",10175,"Second ReadingConsideration resumed of the motion:That this bill be now read a second time.Question agreed to.Bill read a second time.",0,0,1
27,"Third Reading",10175,"Third Reading",0,0,1
28,"BILLS",10176,"BILLS",0,0,0
29,"Offshore Electricity Infrastructure Bill 2021, Offshore Electricity Infrastructure (Regulatory Levies) Bill 2021, Offshore Electricity Infrastructure (Consequential Amendments) Bill 2021",10176,"Offshore Electricity Infrastructure Bill 2021Offshore Electricity Infrastructure (Regulatory Levies) Bill 2021Offshore Electricity Infrastructure (Consequential Amendments) Bill 2021",0,1,0
30,"Second Reading",10176,"Second ReadingCognate debate.Consideration resumed of the motion:That this bill be now read a second time.",0,0,1
31,"STATEMENTS BY MEMBERS",10198,"STATEMENTS BY MEMBERS",0,0,0
32,"Bangladesh: Racism",10198,"Bangladesh: Racism",0,1,0
33,"The Glen Drug and Alcohol Rehabilitation Centre",10199,"The Glen Drug and Alcohol Rehabilitation Centre",0,1,0
34,"Kelmscott Agricultural Show, Woolf, Mr Russell",10199,"Kelmscott Agricultural ShowWoolf, Mr Russell",0,1,0
35,"Climate Change",10199,"Climate Change",0,1,0
36,"Tran, Mr Huy",10200,"Tran, Mr Huy",0,1,0
37,"Longman Electorate: St Columban's College",10200,"Longman Electorate: St Columban's College",0,1,0
38,"Veterans",10200,"Veterans",0,1,0
39,"North Sydney Electorate: Diwali",10201,"North Sydney Electorate: Diwali",0,1,0
40,"Coal Industry",10201,"Coal Industry",0,1,0
41,"Climate Change",10201,"Climate Change",0,1,0
42,"Climate Change",10201,"Climate Change",0,1,0
43,"Gippsland Electorate: Hospitality Industry",10202,"Gippsland Electorate: Hospitality Industry",0,1,0
44,"Paterson Electorate: Maitland Hospital",10202,"Paterson Electorate: Maitland Hospital",0,1,0
45,"Menzies Community Australia Day Awards",10202,"Menzies Community Australia Day Awards",0,1,0
46,"Coalition Government: Climate Change",10203,"Coalition Government: Climate Change",0,1,0
47,"Pitchford, Aunty Phyllis",10203,"Pitchford, Aunty Phyllis",0,1,0
48,"Western Sydney: COVID-19",10203,"Western Sydney: COVID-19",0,1,0
49,"Moncrieff Electorate: Australian International Islamic College",10203,"Moncrieff Electorate: Australian International Islamic College",0,1,0
50,"QUESTIONS WITHOUT NOTICE",10204,"QUESTIONS WITHOUT NOTICE",0,0,0
51,"Morrison Government",10204,"Morrison Government",0,1,0
52,"Wilson, Mr Alan",10204,"Wilson, Mr Alan",0,1,0
53,"Climate Change",10204,"Climate Change",0,1,0
54,"COVID-19: National Plan",10205,"COVID-19: National Plan",0,1,0
55,"Climate Change",10206,"Climate Change",0,1,0
56,"Infrastructure: Regional Australia",10206,"Infrastructure: Regional Australia",0,1,0
57,"Climate Change",10207,"Climate Change",0,1,0
58,"Economy",10208,"Economy",0,1,0
59,"Economy",10208,"Economy",0,1,0
60,"Climate Change",10209,"Climate Change",0,1,0
61,"COVID-19: Vaccination",10209,"COVID-19: Vaccination",0,1,0
62,"Climate Change: Regional Australia",10210,"Climate Change: Regional Australia",0,1,0
63,"Climate Change",10210,"Climate Change",0,1,0
64,"Climate Change: Regional Australia",10211,"Climate Change: Regional Australia",0,1,0
65,"Climate Change",10212,"Climate Change",0,1,0
66,"Climate Change",10212,"Climate Change",0,1,0
67,"Climate Change: Agriculture",10213,"Climate Change: Agriculture",0,1,0
68,"Climate Change",10213,"Climate Change",0,1,0
69,"Cybersafety",10214,"Cybersafety",0,1,0
70,"Climate Change",10215,"Climate Change",0,1,0
71,"Child Safety",10215,"Child Safety",0,1,0
72,"Electric Vehicles",10216,"Electric Vehicles",0,1,0
73,"Child Safety",10216,"Child Safety",0,1,0
74,"Climate Change",10217,"Climate Change",0,1,0
75,"COVID-19",10217,"COVID-19",0,1,0
76,"DOCUMENTS",10218,"DOCUMENTS",0,0,0
77,"STATEMENTS",10218,"STATEMENTS",0,0,0
78,"MATTERS OF PUBLIC IMPORTANCE",10218,"MATTERS OF PUBLIC IMPORTANCE",0,0,0
79,"Presentation",10218,"Presentation",0,1,0
80,"Personal Explanation",10218,"Personal Explanation",0,1,0
81,"Climate Change",10218,"Climate Change",0,1,0
82,"COMMITTEES",10229,"COMMITTEES",0,0,0
83,"Communications and the Arts Committee",10229,"Communications and the Arts Committee",0,1,0
84,"Report",10229,"Report",0,0,1
85,"BILLS",10231,"BILLS",0,0,0
86,"Customs Amendment (Regional Comprehensive Economic Partnership Agreement Implementation) Bill 2021, Customs Tariff Amendment (Regional Comprehensive Economic Partnership Agreement Implementation) Bill 2021",10231,"Customs Amendment (Regional Comprehensive Economic Partnership Agreement Implementation) Bill 2021Customs Tariff Amendment (Regional Comprehensive Economic Partnership Agreement Implementation) Bill 2021",0,1,0
87,"Offshore Electricity Infrastructure Bill 2021, Offshore Electricity Infrastructure (Regulatory Levies) Bill 2021, Offshore Electricity Infrastructure (Consequential Amendments) Bill 2021",10231,"Offshore Electricity Infrastructure Bill 2021Offshore Electricity Infrastructure (Regulatory Levies) Bill 2021Offshore Electricity Infrastructure (Consequential Amendments) Bill 2021",0,1,0
88,"Reference to Federation Chamber",10231,"Reference to Federation Chamber",0,0,1
89,"Assent",10231,"AssentMessages from the Governor-General reported informing the House of assent to the bills.",0,0,1
