"page.no","time.stamp","name","name.id","electorate","party","in.gov","first.speech","text","fedchamb_flag","question","answer","sub1_flag","sub2_flag"
11108,"","Mr Hunt interjecting—","","","","","","
              ",0,0,0,0,1
11108,"","Mr Hunt interjecting—","","","","","","
              ",0,0,0,0,1
11111,"","Mitchell, Rob (The DEPUTY SPEAKER)","M3E","McEwen","ALP","","","
              ",0,0,0,0,1
11111,"","DEPUTY SPEAKER, The","10000","","","","","
              ",0,0,0,0,1
11113,"","Mitchell, Rob (The DEPUTY SPEAKER)","M3E","McEwen","ALP","","","
              ",0,0,0,0,1
11113,"","DEPUTY SPEAKER, The","10000","","","","","
              ",0,0,0,0,1
11113,"","Mitchell, Rob (The DEPUTY SPEAKER)","M3E","McEwen","ALP","","","
              ",0,0,0,0,1
11113,"","DEPUTY SPEAKER, The","10000","","","","","
              ",0,0,0,0,1
11114,"","Mitchell, Rob (The DEPUTY SPEAKER)","M3E","McEwen","ALP","","","
              ",0,0,0,0,1
11114,"","DEPUTY SPEAKER, The","10000","","","","","
              ",0,0,0,0,1
11116,"","Mitchell, Rob (The DEPUTY SPEAKER)","M3E","McEwen","ALP","","","
              ",0,0,0,0,1
11116,"","Swanson, Meryl Jane MP","264170","Paterson","ALP","","","
              ",0,0,0,0,1
11120,"","Mitchell, Rob (The DEPUTY SPEAKER)","M3E","McEwen","ALP","","","
              ",0,0,0,0,1
11126,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,0,1,0
11127,"","Butler, Mark Christopher MP","HWK","Hindmarsh","ALP","","","
            ",0,0,1,1,0
11127,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11128,"","Ms Madeleine King interjecting—","","","","","","
            ",0,0,1,1,0
11128,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11129,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11129,"","Burke, Tony MP","DYW","Watson","ALP","","","
            ",0,0,1,1,0
11129,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11129,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11129,"","Burke, Tony MP","DYW","Watson","ALP","","","
            ",0,0,1,1,0
11129,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11130,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11130,"","Albanese, Anthony, MP","R36","Grayndler","ALP","","","
            ",0,0,1,1,0
11130,"","Mr Dutton interjecting—","","","","","","
            ",0,0,1,1,0
11130,"","Albanese, Anthony, MP","R36","Grayndler","ALP","","","
            ",0,0,1,1,0
11130,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11130,"","Albanese, Anthony, MP","R36","Grayndler","ALP","","","
            ",0,0,1,1,0
11130,"","Dutton, Peter Craig MP","00AKI","Dickson","LNP","","","
            ",0,0,1,1,0
11130,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11131,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11131,"","Albanese, Anthony, MP","R36","Grayndler","ALP","","","
            ",0,0,1,1,0
11131,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11131,"","Burke, Tony MP","DYW","Watson","ALP","","","
            ",0,0,1,1,0
11131,"","Dutton, Peter Craig MP","00AKI","Dickson","LNP","","","
            ",0,0,1,1,0
11131,"","Albanese, Anthony, MP","R36","Grayndler","ALP","","","
            ",0,0,1,1,0
11131,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11131,"","Albanese, Anthony, MP","R36","Grayndler","ALP","","","
            ",0,0,1,1,0
11131,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11131,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11131,"","Mr Burke interjecting—","","","","","","
            ",0,0,1,1,0
11131,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11131,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11132,"","Burke, Tony MP","DYW","Watson","ALP","","","
            ",0,0,1,1,0
11132,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11134,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11134,"","Albanese, Anthony, MP","R36","Grayndler","ALP","","","
            ",0,0,1,1,0
11134,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11135,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11135,"","Burke, Tony MP","DYW","Watson","ALP","","","
            ",0,0,1,1,0
11135,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11135,"","Burke, Tony MP","DYW","Watson","ALP","","","
            ",0,0,1,1,0
11135,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11135,"","Ms McBain interjecting—","","","","","","
            ",0,0,1,1,0
11135,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11135,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11135,"","Burke, Tony MP","DYW","Watson","ALP","","","
            ",0,0,1,1,0
11135,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11135,"","Mr Khalil interjecting—","","","","","","
            ",0,0,1,1,0
11135,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11135,"","Mr Watts interjecting—","","","","","","
            ",0,0,1,1,0
11135,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11136,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,1,0,1,0
11136,"","Dutton, Peter Craig MP","00AKI","Dickson","LNP","","","
            ",0,1,0,1,0
11136,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,1,0,1,0
11136,"","Burke, Tony MP","DYW","Watson","ALP","","","
            ",0,1,0,1,0
11136,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,1,0,1,0
11136,"","Dr Leigh interjecting—","","","","","","
            ",0,0,1,1,0
11136,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11136,"","Albanese, Anthony, MP","R36","Grayndler","ALP","","","
            ",0,0,1,1,0
11136,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11136,"","Dutton, Peter Craig MP","00AKI","Dickson","LNP","","","
            ",0,0,1,1,0
11136,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11136,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11137,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,1,0,1,0
11137,"","Ms Kearney interjecting—","","","","","","
            ",0,0,1,1,0
11137,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11137,"","Mr Perrett interjecting—","","","","","","
            ",0,0,1,1,0
11137,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11137,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11137,"","Dr Chalmers interjecting—","","","","","","
            ",0,0,1,1,0
11138,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11138,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11138,"","Albanese, Anthony, MP","R36","Grayndler","ALP","","","
            ",0,0,1,1,0
11138,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11138,"","Dutton, Peter Craig MP","00AKI","Dickson","LNP","","","
            ",0,0,1,1,0
11138,"","Mr Dreyfus interjecting—","","","","","","
            ",0,0,1,1,0
11138,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11138,"","Albanese, Anthony, MP","R36","Grayndler","ALP","","","
            ",0,0,1,1,0
11138,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11138,"","Albanese, Anthony, MP","R36","Grayndler","ALP","","","
            ",0,0,1,1,0
11138,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11139,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11139,"","Burke, Tony MP","DYW","Watson","ALP","","","
            ",0,0,1,1,0
11139,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11139,"","Burke, Tony MP","DYW","Watson","ALP","","","
            ",0,0,1,1,0
11139,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11139,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,1,1,0
11140,"","Morrison, Scott MP","E3L","Cook","LP","","","
            ",0,0,1,1,0
11150,"","O'Brien, Llew MP (The DEPUTY SPEAKER)","265991","Wide Bay","LNP","","","
            ",0,0,0,1,0
11154,"","Vasta, Ross MP (The DEPUTY SPEAKER)","E0D","Bonner","LNP","","","
            ",0,0,0,1,0
11165,"","Zimmerman, Trent MP (The DEPUTY SPEAKER)","203092","North Sydney","LP","","","
              ",0,0,0,0,1
11178,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
              ",0,0,0,0,1
11180,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,0,1,0
11181,"","Mr O'Dowd interjecting—","","","","","","
            ",0,0,0,1,0
11181,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,0,1,0
11181,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,0,1,0
11181,"","Jones, Stephen MP","A9B","Whitlam","ALP","","","
            ",0,0,0,1,0
11181,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,0,1,0
11183,"","Wallace, Andrew MP (The SPEAKER)","265967","Fisher","LNP","","","
            ",0,0,0,1,0
11199,"","Wicks, Lucy Elizabeth MP (The DEPUTY SPEAKER)","241590","Robertson","LP","","","
            ",1,0,0,1,0
11199,"","Mr Zimmerman interjecting—","","","","","","
            ",1,0,0,1,0
11201,"","Wicks, Lucy Elizabeth MP (The DEPUTY SPEAKER)","241590","Robertson","LP","","","
            ",1,0,0,1,0
11209,"","Freelander, Mike MP (The DEPUTY SPEAKER)","265979","Macarthur","ALP","","","
              ",1,0,0,0,1
11211,"","Freelander, Mike MP (The DEPUTY SPEAKER)","265979","Macarthur","ALP","","","
              ",1,0,0,0,1
11212,"","Freelander, Mike MP (The DEPUTY SPEAKER)","265979","Macarthur","ALP","","","
              ",1,0,0,0,1
11224,"","Coulton, Mark Maclean MP (The DEPUTY SPEAKER)","HWN","Parkes","NATS","","","
            ",1,0,0,1,0
