"title","page.no","body","fedchamb_flag","sub1_flag","sub2_flag"
"COMMITTEES",11105,"COMMITTEES",0,0,0
"PRIVILEGE",11105,"PRIVILEGE",0,0,0
"Privileges and Members' Interests Committee",11105,"Privileges and Members' Interests Committee",0,1,0
"Privileges and Members' Interests Committee",11105,"Privileges and Members' Interests Committee",0,1,0
"Report",11105,"Report",0,0,1
"COMMITTEES",11106,"COMMITTEES",0,0,0
"National Disability Insurance Scheme Joint Committee",11106,"National Disability Insurance Scheme Joint Committee",0,1,0
"Report",11106,"Report",0,0,1
"BILLS",11109,"BILLS",0,0,0
"National Health Amendment (Enhancing the Pharmaceutical Benefits Scheme) Bill 2021",11109,"National Health Amendment (Enhancing the Pharmaceutical Benefits Scheme) Bill 2021",0,1,0
