"date","fedchamb_flag","n_rows"
2011-05-10,0,238
2011-05-11,0,273
2011-05-11,1,111
2011-05-12,0,315
2011-05-12,1,89
2011-05-23,0,321
2011-05-23,1,115
2011-05-24,0,246
2011-05-24,1,77
2011-05-25,0,392
2011-05-25,1,81
2011-05-26,0,374
2011-05-26,1,38
2011-05-30,0,302
2011-05-30,1,125
2011-05-31,0,279
2011-05-31,1,67
2011-06-01,0,342
2011-06-01,1,58
2011-06-02,0,307
2011-06-02,1,53
2011-06-14,0,313
2011-06-14,1,263
2011-06-15,0,317
2011-06-15,1,291
2011-06-16,0,171
2011-06-16,1,73
2011-06-20,0,162
2011-06-20,1,110
2011-06-21,0,338
2011-06-21,1,111
2011-06-22,0,362
2011-06-22,1,75
2011-06-23,0,299
2011-06-23,1,51
2011-07-04,0,345
2011-07-04,1,121
2011-07-05,0,287
2011-07-06,0,384
2011-07-06,1,64
2011-07-07,0,324
2011-07-07,1,43
2011-08-16,0,326
2011-08-17,0,363
2011-08-17,1,86
2011-08-18,0,272
2011-08-18,1,53
2011-08-22,0,345
2011-08-22,1,124
2011-08-23,0,275
2011-08-24,0,255
2011-08-24,1,79
2011-08-25,0,378
2011-08-25,1,60
2011-09-12,0,301
2011-09-12,1,137
2011-09-13,0,414
2011-09-14,0,293
2011-09-14,1,80
2011-09-15,0,418
2011-09-15,1,37
2011-09-19,0,463
2011-09-19,1,140
2011-09-20,0,493
2011-09-21,0,439
2011-09-21,1,57
2011-09-22,0,234
2011-09-22,1,79
2011-10-11,0,437
2011-10-12,0,338
2011-10-12,1,85
2011-10-13,0,259
2011-10-13,1,53
2011-10-31,0,330
2011-10-31,1,183
2011-11-01,0,241
2011-11-02,0,373
2011-11-02,1,70
2011-11-03,0,290
2011-11-03,1,56
2011-11-17,0,10
2011-11-21,0,364
2011-11-21,1,116
2011-11-22,0,378
2011-11-22,1,64
2011-11-23,0,316
2011-11-23,1,51
2011-11-24,0,372
2011-11-24,1,35
2012-02-07,0,284
2012-02-08,0,325
2012-02-08,1,89
2012-02-09,0,385
2012-02-09,1,54
2012-02-13,0,361
2012-02-13,1,121
2012-02-14,0,326
2012-02-14,1,93
2012-02-15,0,349
2012-02-15,1,77
2012-02-16,0,373
2012-02-16,1,40
2012-02-27,0,311
2012-02-27,1,96
2012-02-28,0,295
2012-02-28,1,104
2012-02-29,0,325
2012-02-29,1,58
2012-03-01,0,288
2012-03-01,1,74
2012-03-13,0,281
2012-03-13,1,35
2012-03-14,0,385
2012-03-14,1,62
2012-03-15,0,386
2012-03-15,1,36
2012-03-19,0,428
2012-03-19,1,128
2012-03-20,0,324
2012-03-20,1,79
2012-03-21,0,406
2012-03-21,1,85
2012-03-22,0,398
2012-03-22,1,55
2012-05-08,0,259
2012-05-09,0,339
2012-05-09,1,88
2012-05-10,0,273
2012-05-10,1,47
2012-05-21,0,400
2012-05-21,1,134
2012-05-22,0,232
2012-05-22,1,92
2012-05-23,0,370
2012-05-23,1,60
2012-05-24,0,272
2012-05-24,1,41
2012-05-28,0,301
2012-05-28,1,122
2012-05-29,0,300
2012-05-29,1,83
2012-05-30,0,436
2012-05-30,1,192
2012-05-31,0,339
2012-05-31,1,145
2012-06-18,0,294
2012-06-18,1,258
2012-06-19,0,283
2012-06-19,1,189
2012-06-20,0,431
2012-06-20,1,152
2012-06-21,0,320
2012-06-21,1,42
2012-06-25,0,409
2012-06-25,1,116
2012-06-26,0,378
2012-06-26,1,51
2012-06-27,0,238
2012-06-27,1,23
2012-06-28,0,361
2012-06-28,1,52
2012-08-14,0,285
2012-08-15,0,315
2012-08-15,1,60
2012-08-16,0,345
2012-08-16,1,44
2012-08-20,0,404
2012-08-20,1,109
2012-08-21,0,373
2012-08-21,1,29
2012-08-22,0,473
2012-08-22,1,37
2012-08-23,0,281
2012-08-23,1,55
2012-09-10,0,311
2012-09-10,1,82
2012-09-11,0,291
2012-09-12,0,334
2012-09-12,1,41
2012-09-13,0,297
2012-09-13,1,50
2012-09-17,0,366
2012-09-17,1,103
2012-09-18,0,331
2012-09-18,1,48
2012-09-19,0,404
2012-09-19,1,41
2012-09-20,0,426
2012-09-20,1,48
2012-10-09,0,279
2012-10-09,1,52
2012-10-10,0,381
2012-10-10,1,60
2012-10-11,0,294
2012-10-11,1,38
2012-10-29,0,359
2012-10-29,1,119
2012-10-30,0,332
2012-10-30,1,61
2012-10-31,0,378
2012-10-31,1,20
2012-11-01,0,332
2012-11-01,1,34
2012-11-26,0,370
2012-11-26,1,133
2012-11-27,0,384
2012-11-27,1,46
2012-11-28,0,421
2012-11-28,1,38
2012-11-29,0,400
2012-11-29,1,54
2013-02-05,0,325
2013-02-06,0,278
2013-02-06,1,59
2013-02-07,0,299
2013-02-07,1,38
2013-02-11,0,326
2013-02-11,1,102
2013-02-12,0,248
2013-02-12,1,69
2013-02-13,0,258
2013-02-13,1,70
2013-02-14,0,334
2013-02-14,1,50
2013-03-12,0,276
2013-03-12,1,47
2013-03-13,0,347
2013-03-13,1,73
2013-03-14,0,325
2013-03-14,1,63
2013-03-18,0,295
2013-03-18,1,116
2013-03-19,0,314
2013-03-19,1,37
2013-03-20,0,310
2013-03-20,1,27
2013-03-21,0,223
2013-03-21,1,34
2013-05-14,0,313
2013-05-15,0,418
2013-05-15,1,93
2013-05-16,0,348
2013-05-16,1,58
2013-05-27,0,341
2013-05-27,1,195
2013-05-28,0,413
2013-05-28,1,78
2013-05-29,0,392
2013-05-29,1,139
2013-05-30,0,285
2013-05-30,1,71
2013-06-03,0,344
2013-06-03,1,192
2013-06-04,0,428
2013-06-04,1,268
2013-06-05,0,438
2013-06-05,1,297
2013-06-06,0,345
2013-06-06,1,145
2013-06-17,0,344
2013-06-17,1,128
2013-06-18,0,309
2013-06-18,1,40
2013-06-19,0,465
2013-06-19,1,51
2013-06-20,0,269
2013-06-20,1,46
2013-06-24,0,330
2013-06-24,1,120
2013-06-25,0,320
2013-06-25,1,29
2013-06-26,0,284
2013-06-26,1,70
2013-06-27,0,336
2013-11-12,0,83
2013-11-13,0,433
2013-11-14,0,210
2013-11-18,0,291
2013-11-18,1,77
2013-11-19,0,222
2013-11-20,0,432
2013-11-20,1,28
2013-11-21,0,457
2013-11-21,1,39
2013-12-02,0,330
2013-12-02,1,93
2013-12-09,0,433
2013-12-09,1,98
2013-12-10,0,443
2013-12-11,0,529
2013-12-11,1,32
2013-12-12,0,441
2013-12-12,1,42
2014-02-11,0,266
2014-02-12,0,259
2014-02-12,1,33
2014-02-13,0,334
2014-02-13,1,55
2014-02-24,0,260
2014-02-24,1,91
2014-02-25,0,286
2014-02-26,0,425
2014-02-26,1,33
2014-02-27,0,394
2014-02-27,1,59
2014-03-03,0,328
2014-03-03,1,101
2014-03-04,0,382
2014-03-05,0,336
2014-03-05,1,23
2014-03-06,0,435
2014-03-06,1,33
2014-03-17,0,284
2014-03-17,1,133
2014-03-18,0,460
2014-03-19,0,497
2014-03-19,1,42
2014-03-20,0,433
2014-03-20,1,37
2014-03-24,0,432
2014-03-24,1,107
2014-03-25,0,353
2014-03-26,0,594
2014-03-26,1,29
2014-03-27,0,349
2014-03-27,1,56
2014-05-13,0,320
2014-05-14,0,324
2014-05-14,1,33
2014-05-15,0,264
2014-05-15,1,44
2014-05-26,0,460
2014-05-26,1,149
2014-05-27,0,397
2014-05-27,1,40
2014-05-28,0,516
2014-05-28,1,58
2014-05-29,0,405
2014-05-29,1,38
2014-06-02,0,286
