"gender","fedchamb_flag","interject","n","date"
"female",0,0,20,2022-09-08
"female",0,1,10,2022-09-08
"female",1,0,11,2022-09-08
"female",1,1,1,2022-09-08
"male",0,0,76,2022-09-08
"male",0,1,31,2022-09-08
"male",1,0,22,2022-09-08
"male",1,1,6,2022-09-08
NA,0,0,114,2022-09-08
NA,0,1,15,2022-09-08
NA,1,0,29,2022-09-08
NA,1,1,4,2022-09-08
"female",0,0,33,2022-09-07
"female",0,1,6,2022-09-07
"female",1,0,17,2022-09-07
"female",1,1,1,2022-09-07
"male",0,0,79,2022-09-07
"male",0,1,19,2022-09-07
"male",1,0,16,2022-09-07
"male",1,1,9,2022-09-07
NA,0,0,85,2022-09-07
NA,0,1,7,2022-09-07
NA,1,0,27,2022-09-07
NA,1,1,3,2022-09-07
"female",0,0,19,2022-09-06
"female",0,1,14,2022-09-06
"female",1,0,6,2022-09-06
"male",0,0,86,2022-09-06
"male",0,1,43,2022-09-06
"male",1,0,11,2022-09-06
NA,0,0,117,2022-09-06
NA,0,1,8,2022-09-06
NA,1,0,17,2022-09-06
"female",0,0,23,2022-09-05
"female",0,1,11,2022-09-05
"female",1,0,32,2022-09-05
"female",1,1,1,2022-09-05
"male",0,0,79,2022-09-05
"male",0,1,37,2022-09-05
"male",1,0,59,2022-09-05
"male",1,1,7,2022-09-05
NA,0,0,149,2022-09-05
NA,0,1,11,2022-09-05
NA,1,0,32,2022-09-05
NA,1,1,5,2022-09-05
"female",0,0,20,2022-08-04
"female",0,1,7,2022-08-04
"female",1,0,5,2022-08-04
"male",0,0,76,2022-08-04
"male",0,1,29,2022-08-04
"male",1,0,2,2022-08-04
NA,0,0,126,2022-08-04
NA,0,1,14,2022-08-04
NA,1,0,6,2022-08-04
"female",0,0,24,2022-08-03
"female",0,1,8,2022-08-03
"female",1,0,10,2022-08-03
"male",0,0,71,2022-08-03
"male",0,1,41,2022-08-03
"male",1,0,15,2022-08-03
"male",1,1,1,2022-08-03
NA,0,0,129,2022-08-03
NA,0,1,7,2022-08-03
NA,1,0,11,2022-08-03
"female",0,0,17,2022-08-02
"female",0,1,23,2022-08-02
"female",1,0,7,2022-08-02
"male",0,0,94,2022-08-02
"male",0,1,33,2022-08-02
"male",1,0,15,2022-08-02
NA,0,0,124,2022-08-02
NA,0,1,17,2022-08-02
NA,1,0,11,2022-08-02
NA,1,1,2,2022-08-02
"female",0,0,24,2022-08-01
"female",0,1,7,2022-08-01
"female",1,0,32,2022-08-01
"female",1,1,5,2022-08-01
"male",0,0,80,2022-08-01
"male",0,1,27,2022-08-01
"male",1,0,60,2022-08-01
"male",1,1,17,2022-08-01
NA,0,0,100,2022-08-01
NA,0,1,10,2022-08-01
NA,1,0,29,2022-08-01
NA,1,1,6,2022-08-01
"female",0,0,23,2022-07-28
"female",0,1,12,2022-07-28
"male",0,0,69,2022-07-28
"male",0,1,43,2022-07-28
NA,0,0,114,2022-07-28
NA,0,1,12,2022-07-28
"female",0,0,37,2022-07-27
"female",0,1,8,2022-07-27
"male",0,0,70,2022-07-27
"male",0,1,29,2022-07-27
NA,0,0,112,2022-07-27
NA,0,1,11,2022-07-27
"female",0,0,6,2022-07-26
"female",0,1,8,2022-07-26
"male",0,0,45,2022-07-26
"male",0,1,4,2022-07-26
NA,0,0,53,2022-07-26
NA,0,1,5,2022-07-26
"female",0,0,26,2021-12-02
"female",0,1,8,2021-12-02
"female",1,0,14,2021-12-02
"female",1,1,2,2021-12-02
"male",0,0,96,2021-12-02
"male",0,1,43,2021-12-02
"male",1,0,29,2021-12-02
"male",1,1,1,2021-12-02
NA,0,0,112,2021-12-02
NA,0,1,20,2021-12-02
NA,1,0,14,2021-12-02
NA,1,1,1,2021-12-02
"female",0,0,33,2021-12-01
"female",0,1,9,2021-12-01
"female",1,0,3,2021-12-01
"male",0,0,152,2021-12-01
"male",0,1,46,2021-12-01
"male",1,0,6,2021-12-01
NA,0,0,151,2021-12-01
NA,0,1,14,2021-12-01
NA,1,0,4,2021-12-01
"female",0,0,23,2021-11-30
"female",0,1,5,2021-11-30
"female",1,0,8,2021-11-30
"male",0,0,102,2021-11-30
"male",0,1,55,2021-11-30
"male",1,0,17,2021-11-30
"male",1,1,2,2021-11-30
NA,0,0,103,2021-11-30
NA,0,1,11,2021-11-30
NA,1,0,13,2021-11-30
"female",0,0,33,2021-11-29
"female",0,1,5,2021-11-29
"female",1,0,43,2021-11-29
"female",1,1,1,2021-11-29
"male",0,0,131,2021-11-29
"male",0,1,39,2021-11-29
"male",1,0,62,2021-11-29
"male",1,1,3,2021-11-29
NA,0,0,101,2021-11-29
NA,0,1,13,2021-11-29
NA,1,0,31,2021-11-29
NA,1,1,11,2021-11-29
"female",0,0,26,2021-11-25
"female",0,1,3,2021-11-25
"female",1,0,13,2021-11-25
"male",0,0,87,2021-11-25
"male",0,1,38,2021-11-25
"male",1,0,16,2021-11-25
"male",1,1,1,2021-11-25
NA,0,0,95,2021-11-25
NA,0,1,9,2021-11-25
NA,1,0,11,2021-11-25
"female",0,0,34,2021-11-24
"female",0,1,4,2021-11-24
"female",1,0,7,2021-11-24
"male",0,0,118,2021-11-24
"male",0,1,57,2021-11-24
"male",1,0,11,2021-11-24
NA,0,0,104,2021-11-24
NA,0,1,10,2021-11-24
NA,1,0,4,2021-11-24
"female",0,0,25,2021-11-23
"female",0,1,3,2021-11-23
"female",1,0,9,2021-11-23
"male",0,0,89,2021-11-23
"male",0,1,75,2021-11-23
"male",1,0,13,2021-11-23
NA,0,0,107,2021-11-23
NA,0,1,20,2021-11-23
NA,1,0,11,2021-11-23
"female",0,0,34,2021-11-22
"female",0,1,3,2021-11-22
"female",1,0,44,2021-11-22
"female",1,1,1,2021-11-22
"male",0,0,131,2021-11-22
"male",0,1,31,2021-11-22
"male",1,0,54,2021-11-22
"male",1,1,3,2021-11-22
NA,0,0,87,2021-11-22
NA,0,1,16,2021-11-22
NA,1,0,23,2021-11-22
NA,1,1,1,2021-11-22
"female",0,0,25,2021-10-28
"female",0,1,2,2021-10-28
"female",1,0,15,2021-10-28
"male",0,0,116,2021-10-28
"male",0,1,34,2021-10-28
"male",1,0,17,2021-10-28
"male",1,1,1,2021-10-28
NA,0,0,108,2021-10-28
NA,0,1,12,2021-10-28
NA,1,0,8,2021-10-28
NA,1,1,1,2021-10-28
"female",0,0,36,2021-10-27
"female",0,1,5,2021-10-27
"female",1,0,7,2021-10-27
"male",0,0,101,2021-10-27
"male",0,1,33,2021-10-27
"male",1,0,11,2021-10-27
NA,0,0,66,2021-10-27
NA,0,1,12,2021-10-27
NA,1,0,6,2021-10-27
NA,1,1,1,2021-10-27
"female",0,0,27,2021-10-26
"female",0,1,2,2021-10-26
"female",1,0,13,2021-10-26
"male",0,0,101,2021-10-26
"male",0,1,31,2021-10-26
"male",1,0,12,2021-10-26
NA,0,0,90,2021-10-26
NA,0,1,10,2021-10-26
NA,1,0,8,2021-10-26
"female",0,0,29,2021-10-25
"female",0,1,2,2021-10-25
"female",1,0,43,2021-10-25
"female",1,1,4,2021-10-25
"male",0,0,116,2021-10-25
"male",0,1,27,2021-10-25
"male",1,0,53,2021-10-25
"male",1,1,11,2021-10-25
NA,0,0,91,2021-10-25
NA,0,1,11,2021-10-25
NA,1,0,28,2021-10-25
NA,1,1,1,2021-10-25
"female",0,0,29,2021-10-21
"female",0,1,2,2021-10-21
"female",1,0,10,2021-10-21
"female",1,1,2,2021-10-21
"male",0,0,102,2021-10-21
"male",0,1,8,2021-10-21
"male",1,0,15,2021-10-21
NA,0,0,53,2021-10-21
NA,0,1,5,2021-10-21
NA,1,0,12,2021-10-21
"female",0,0,41,2021-10-20
"female",0,1,5,2021-10-20
"female",1,0,9,2021-10-20
"male",0,0,114,2021-10-20
"male",0,1,42,2021-10-20
"male",1,0,11,2021-10-20
NA,0,0,105,2021-10-20
NA,0,1,14,2021-10-20
NA,1,0,4,2021-10-20
"female",0,0,20,2021-10-19
"female",0,1,1,2021-10-19
"female",1,0,13,2021-10-19
"male",0,0,96,2021-10-19
"male",0,1,23,2021-10-19
"male",1,0,20,2021-10-19
NA,0,0,55,2021-10-19
NA,0,1,11,2021-10-19
NA,1,0,11,2021-10-19
NA,1,1,1,2021-10-19
"female",0,0,34,2021-10-18
"female",0,1,1,2021-10-18
"female",1,0,29,2021-10-18
"female",1,1,2,2021-10-18
"male",0,0,101,2021-10-18
"male",0,1,31,2021-10-18
"male",1,0,46,2021-10-18
"male",1,1,2,2021-10-18
NA,0,0,94,2021-10-18
NA,0,1,9,2021-10-18
NA,1,0,18,2021-10-18
NA,1,1,1,2021-10-18
"female",0,0,28,2021-09-02
"female",0,1,1,2021-09-02
"male",0,0,104,2021-09-02
"male",0,1,14,2021-09-02
NA,0,0,53,2021-09-02
NA,0,1,2,2021-09-02
"female",0,0,35,2021-09-01
"female",0,1,7,2021-09-01
"male",0,0,138,2021-09-01
"male",0,1,23,2021-09-01
NA,0,0,79,2021-09-01
NA,0,1,10,2021-09-01
"female",0,0,42,2021-08-31
"female",0,1,1,2021-08-31
"male",0,0,105,2021-08-31
"male",0,1,19,2021-08-31
NA,0,0,63,2021-08-31
NA,0,1,8,2021-08-31
"female",0,0,38,2021-08-30
"female",0,1,1,2021-08-30
"male",0,0,128,2021-08-30
"male",0,1,15,2021-08-30
NA,0,0,80,2021-08-30
NA,0,1,11,2021-08-30
"female",0,0,38,2021-08-26
"female",0,1,4,2021-08-26
"male",0,0,87,2021-08-26
"male",0,1,13,2021-08-26
NA,0,0,66,2021-08-26
NA,0,1,6,2021-08-26
"female",0,0,37,2021-08-25
"female",0,1,3,2021-08-25
"male",0,0,125,2021-08-25
"male",0,1,37,2021-08-25
NA,0,0,78,2021-08-25
NA,0,1,13,2021-08-25
"female",0,0,32,2021-08-24
"female",0,1,1,2021-08-24
"male",0,0,91,2021-08-24
"male",0,1,27,2021-08-24
NA,0,0,51,2021-08-24
NA,0,1,3,2021-08-24
"female",0,0,42,2021-08-23
"female",0,1,2,2021-08-23
"male",0,0,85,2021-08-23
"male",0,1,16,2021-08-23
NA,0,0,41,2021-08-23
NA,0,1,6,2021-08-23
"female",0,0,32,2021-08-12
"female",0,1,2,2021-08-12
"male",0,0,78,2021-08-12
"male",0,1,32,2021-08-12
NA,0,0,63,2021-08-12
NA,0,1,6,2021-08-12
"female",0,0,38,2021-08-11
"female",0,1,2,2021-08-11
"male",0,0,102,2021-08-11
"male",0,1,12,2021-08-11
NA,0,0,49,2021-08-11
NA,0,1,4,2021-08-11
"female",0,0,34,2021-08-10
"female",0,1,3,2021-08-10
"male",0,0,99,2021-08-10
"male",0,1,36,2021-08-10
NA,0,0,70,2021-08-10
NA,0,1,17,2021-08-10
"female",0,0,27,2021-08-09
"female",0,1,7,2021-08-09
"male",0,0,111,2021-08-09
"male",0,1,30,2021-08-09
NA,0,0,80,2021-08-09
NA,0,1,13,2021-08-09
"female",0,0,29,2021-08-05
"female",0,1,2,2021-08-05
"male",0,0,101,2021-08-05
"male",0,1,22,2021-08-05
NA,0,0,63,2021-08-05
NA,0,1,6,2021-08-05
"female",0,0,34,2021-08-04
"female",0,1,3,2021-08-04
"male",0,0,107,2021-08-04
"male",0,1,37,2021-08-04
NA,0,0,81,2021-08-04
NA,0,1,9,2021-08-04
"female",0,0,35,2021-08-03
"female",0,1,2,2021-08-03
"male",0,0,91,2021-08-03
"male",0,1,29,2021-08-03
NA,0,0,56,2021-08-03
NA,0,1,6,2021-08-03
"female",0,0,24,2021-06-24
"female",0,1,6,2021-06-24
"female",1,0,14,2021-06-24
"male",0,0,129,2021-06-24
"male",0,1,38,2021-06-24
"male",1,0,31,2021-06-24
"male",1,1,4,2021-06-24
NA,0,0,98,2021-06-24
NA,0,1,15,2021-06-24
NA,1,0,16,2021-06-24
"female",0,0,55,2021-06-23
"female",0,1,3,2021-06-23
"female",1,0,39,2021-06-23
"female",1,1,2,2021-06-23
"male",0,0,112,2021-06-23
"male",0,1,18,2021-06-23
"male",1,0,54,2021-06-23
"male",1,1,7,2021-06-23
NA,0,0,91,2021-06-23
NA,0,1,18,2021-06-23
NA,1,0,24,2021-06-23
NA,1,1,2,2021-06-23
"female",0,0,37,2021-06-22
"female",0,1,3,2021-06-22
"female",1,0,8,2021-06-22
"male",0,0,96,2021-06-22
"male",0,1,29,2021-06-22
"male",1,0,22,2021-06-22
NA,0,0,90,2021-06-22
NA,0,1,16,2021-06-22
NA,1,0,7,2021-06-22
NA,1,1,3,2021-06-22
"female",0,0,30,2021-06-21
"female",0,1,1,2021-06-21
"female",1,0,35,2021-06-21
"male",0,0,120,2021-06-21
"male",0,1,14,2021-06-21
"male",1,0,76,2021-06-21
"male",1,1,11,2021-06-21
NA,0,0,60,2021-06-21
NA,0,1,7,2021-06-21
NA,1,0,23,2021-06-21
NA,1,1,1,2021-06-21
"female",0,0,20,2021-06-17
"female",0,1,11,2021-06-17
"female",1,0,14,2021-06-17
"female",1,1,1,2021-06-17
"male",0,0,136,2021-06-17
"male",0,1,27,2021-06-17
"male",1,0,29,2021-06-17
"male",1,1,8,2021-06-17
NA,0,0,88,2021-06-17
NA,0,1,18,2021-06-17
NA,1,0,12,2021-06-17
NA,1,1,6,2021-06-17
"female",0,0,39,2021-06-16
"female",0,1,5,2021-06-16
"female",1,0,26,2021-06-16
"female",1,1,3,2021-06-16
"male",0,0,138,2021-06-16
"male",0,1,39,2021-06-16
"male",1,0,77,2021-06-16
"male",1,1,12,2021-06-16
NA,0,0,99,2021-06-16
NA,0,1,18,2021-06-16
NA,1,0,21,2021-06-16
NA,1,1,12,2021-06-16
"female",0,0,25,2021-06-15
"female",0,1,3,2021-06-15
"female",1,0,10,2021-06-15
"male",0,0,119,2021-06-15
"male",0,1,27,2021-06-15
"male",1,0,40,2021-06-15
"male",1,1,10,2021-06-15
NA,0,0,72,2021-06-15
NA,0,1,26,2021-06-15
NA,1,0,15,2021-06-15
NA,1,1,9,2021-06-15
"female",0,0,33,2021-06-03
"female",0,1,5,2021-06-03
"female",1,0,9,2021-06-03
"male",0,0,117,2021-06-03
"male",0,1,15,2021-06-03
"male",1,0,22,2021-06-03
NA,0,0,88,2021-06-03
NA,0,1,21,2021-06-03
NA,1,0,11,2021-06-03
NA,1,1,2,2021-06-03
"female",0,0,32,2021-06-02
"female",0,1,8,2021-06-02
"female",1,0,33,2021-06-02
"female",1,1,1,2021-06-02
"male",0,0,127,2021-06-02
"male",0,1,40,2021-06-02
"male",1,0,74,2021-06-02
"male",1,1,7,2021-06-02
NA,0,0,88,2021-06-02
NA,0,1,16,2021-06-02
NA,1,0,22,2021-06-02
NA,1,1,3,2021-06-02
"female",0,0,25,2021-06-01
"female",0,1,6,2021-06-01
"female",1,0,4,2021-06-01
"male",0,0,93,2021-06-01
"male",0,1,19,2021-06-01
"male",1,0,24,2021-06-01
NA,0,0,63,2021-06-01
NA,0,1,11,2021-06-01
NA,1,0,14,2021-06-01
NA,1,1,1,2021-06-01
"female",0,0,29,2021-05-27
"female",0,1,11,2021-05-27
"female",1,0,6,2021-05-27
"male",0,0,110,2021-05-27
"male",0,1,32,2021-05-27
"male",1,0,11,2021-05-27
"male",1,1,4,2021-05-27
NA,0,0,70,2021-05-27
NA,0,1,14,2021-05-27
NA,1,0,6,2021-05-27
NA,1,1,3,2021-05-27
"female",0,0,41,2021-05-26
"female",0,1,7,2021-05-26
"female",1,0,12,2021-05-26
"male",0,0,120,2021-05-26
"male",0,1,61,2021-05-26
"male",1,0,21,2021-05-26
NA,0,0,106,2021-05-26
NA,0,1,17,2021-05-26
NA,1,0,10,2021-05-26
"female",0,0,32,2021-05-25
"female",0,1,7,2021-05-25
"female",1,0,12,2021-05-25
"male",0,0,109,2021-05-25
"male",0,1,40,2021-05-25
"male",1,0,20,2021-05-25
NA,0,0,70,2021-05-25
NA,0,1,23,2021-05-25
NA,1,0,11,2021-05-25
NA,1,1,4,2021-05-25
"female",0,0,34,2021-05-24
"female",0,1,1,2021-05-24
"female",1,0,40,2021-05-24
"female",1,1,6,2021-05-24
"male",0,0,115,2021-05-24
"male",0,1,28,2021-05-24
"male",1,0,90,2021-05-24
"male",1,1,13,2021-05-24
NA,0,0,51,2021-05-24
NA,0,1,16,2021-05-24
NA,1,0,21,2021-05-24
NA,1,1,13,2021-05-24
"female",0,0,25,2021-05-13
"female",0,1,3,2021-05-13
"female",1,0,14,2021-05-13
"female",1,1,1,2021-05-13
"male",0,0,135,2021-05-13
"male",0,1,29,2021-05-13
"male",1,0,21,2021-05-13
"male",1,1,1,2021-05-13
NA,0,0,90,2021-05-13
NA,0,1,25,2021-05-13
NA,1,0,13,2021-05-13
NA,1,1,1,2021-05-13
"female",0,0,41,2021-05-12
"female",0,1,4,2021-05-12
"female",1,0,41,2021-05-12
"female",1,1,9,2021-05-12
"male",0,0,111,2021-05-12
"male",0,1,22,2021-05-12
"male",1,0,53,2021-05-12
"male",1,1,6,2021-05-12
NA,0,0,73,2021-05-12
NA,0,1,14,2021-05-12
NA,1,0,26,2021-05-12
NA,1,1,4,2021-05-12
"female",0,0,11,2021-05-11
"male",0,0,71,2021-05-11
"male",0,1,27,2021-05-11
NA,0,0,61,2021-05-11
NA,0,1,14,2021-05-11
"female",0,0,40,2021-03-25
"female",0,1,5,2021-03-25
"female",1,0,7,2021-03-25
"male",0,0,107,2021-03-25
"male",0,1,9,2021-03-25
"male",1,0,21,2021-03-25
"male",1,1,4,2021-03-25
NA,0,0,71,2021-03-25
NA,0,1,5,2021-03-25
NA,1,0,9,2021-03-25
"female",0,0,41,2021-03-24
"female",0,1,7,2021-03-24
"female",1,0,16,2021-03-24
"female",1,1,1,2021-03-24
"male",0,0,104,2021-03-24
"male",0,1,16,2021-03-24
"male",1,0,25,2021-03-24
"male",1,1,1,2021-03-24
NA,0,0,58,2021-03-24
NA,0,1,17,2021-03-24
NA,1,0,7,2021-03-24
NA,1,1,4,2021-03-24
"female",0,0,36,2021-03-23
"female",0,1,8,2021-03-23
"female",1,0,9,2021-03-23
"male",0,0,98,2021-03-23
"male",0,1,26,2021-03-23
"male",1,0,16,2021-03-23
NA,0,0,45,2021-03-23
NA,0,1,16,2021-03-23
NA,1,0,7,2021-03-23
NA,1,1,1,2021-03-23
"female",0,0,37,2021-03-22
"female",0,1,2,2021-03-22
"female",1,0,41,2021-03-22
"female",1,1,4,2021-03-22
"male",0,0,110,2021-03-22
"male",0,1,19,2021-03-22
"male",1,0,92,2021-03-22
"male",1,1,12,2021-03-22
NA,0,0,45,2021-03-22
NA,0,1,6,2021-03-22
NA,1,0,15,2021-03-22
NA,1,1,5,2021-03-22
"female",0,0,35,2021-03-18
"female",0,1,3,2021-03-18
"female",1,0,12,2021-03-18
"male",0,0,102,2021-03-18
"male",0,1,22,2021-03-18
"male",1,0,24,2021-03-18
"male",1,1,3,2021-03-18
NA,0,0,78,2021-03-18
NA,0,1,17,2021-03-18
NA,1,0,9,2021-03-18
NA,1,1,2,2021-03-18
"female",0,0,42,2021-03-17
"female",0,1,4,2021-03-17
"female",1,0,5,2021-03-17
"male",0,0,117,2021-03-17
"male",0,1,23,2021-03-17
"male",1,0,15,2021-03-17
"male",1,1,4,2021-03-17
NA,0,0,60,2021-03-17
NA,0,1,17,2021-03-17
NA,1,0,4,2021-03-17
"female",0,0,37,2021-03-16
"female",0,1,8,2021-03-16
"female",1,0,8,2021-03-16
"male",0,0,96,2021-03-16
"male",0,1,16,2021-03-16
"male",1,0,16,2021-03-16
NA,0,0,49,2021-03-16
NA,0,1,10,2021-03-16
NA,1,0,11,2021-03-16
"female",0,0,50,2021-03-15
"female",0,1,6,2021-03-15
"female",1,0,31,2021-03-15
"female",1,1,2,2021-03-15
"male",0,0,95,2021-03-15
"male",0,1,20,2021-03-15
"male",1,0,87,2021-03-15
"male",1,1,7,2021-03-15
NA,0,0,54,2021-03-15
NA,0,1,13,2021-03-15
NA,1,0,33,2021-03-15
NA,1,1,2,2021-03-15
"female",0,0,34,2021-02-25
"female",0,1,2,2021-02-25
"female",1,0,9,2021-02-25
"male",0,0,98,2021-02-25
"male",0,1,6,2021-02-25
"male",1,0,22,2021-02-25
NA,0,0,36,2021-02-25
NA,0,1,6,2021-02-25
NA,1,0,3,2021-02-25
NA,1,1,2,2021-02-25
"female",0,0,35,2021-02-24
"female",0,1,7,2021-02-24
"female",1,0,7,2021-02-24
"male",0,0,109,2021-02-24
"male",0,1,33,2021-02-24
"male",1,0,14,2021-02-24
NA,0,0,66,2021-02-24
NA,0,1,12,2021-02-24
NA,1,0,2,2021-02-24
"female",0,0,27,2021-02-23
"female",0,1,1,2021-02-23
"female",1,0,6,2021-02-23
"male",0,0,103,2021-02-23
"male",0,1,15,2021-02-23
"male",1,0,11,2021-02-23
NA,0,0,26,2021-02-23
NA,0,1,8,2021-02-23
NA,1,0,5,2021-02-23
"female",0,0,39,2021-02-22
"female",0,1,3,2021-02-22
"female",1,0,34,2021-02-22
"female",1,1,2,2021-02-22
