"word_count","fedchamb_flag","date"
23868,"Federation Chamber",2022-09-08
58164,"House of Representatives",2022-09-08
58676,"Federation Chamber",2022-09-07
96168,"House of Representatives",2022-09-07
28012,"Federation Chamber",2022-09-06
64989,"House of Representatives",2022-09-06
56377,"Federation Chamber",2022-09-05
81511,"House of Representatives",2022-09-05
5078,"Federation Chamber",2022-08-04
48441,"House of Representatives",2022-08-04
18069,"Federation Chamber",2022-08-03
104506,"House of Representatives",2022-08-03
22521,"Federation Chamber",2022-08-02
77127,"House of Representatives",2022-08-02
54640,"Federation Chamber",2022-08-01
86044,"House of Representatives",2022-08-01
0,"Federation Chamber",2022-07-28
66761,"House of Representatives",2022-07-28
0,"Federation Chamber",2022-07-27
89049,"House of Representatives",2022-07-27
0,"Federation Chamber",2022-07-26
47755,"House of Representatives",2022-07-26
22869,"Federation Chamber",2021-12-02
62859,"House of Representatives",2021-12-02
4667,"Federation Chamber",2021-12-01
87020,"House of Representatives",2021-12-01
25505,"Federation Chamber",2021-11-30
75798,"House of Representatives",2021-11-30
57649,"Federation Chamber",2021-11-29
96867,"House of Representatives",2021-11-29
20388,"Federation Chamber",2021-11-25
57799,"House of Representatives",2021-11-25
9265,"Federation Chamber",2021-11-24
108142,"House of Representatives",2021-11-24
16307,"Federation Chamber",2021-11-23
57976,"House of Representatives",2021-11-23
51263,"Federation Chamber",2021-11-22
90684,"House of Representatives",2021-11-22
22616,"Federation Chamber",2021-10-28
57428,"House of Representatives",2021-10-28
9302,"Federation Chamber",2021-10-27
90302,"House of Representatives",2021-10-27
23889,"Federation Chamber",2021-10-26
62110,"House of Representatives",2021-10-26
51522,"Federation Chamber",2021-10-25
81504,"House of Representatives",2021-10-25
13760,"Federation Chamber",2021-10-21
58083,"House of Representatives",2021-10-21
9743,"Federation Chamber",2021-10-20
85809,"House of Representatives",2021-10-20
22302,"Federation Chamber",2021-10-19
70266,"House of Representatives",2021-10-19
47374,"Federation Chamber",2021-10-18
87235,"House of Representatives",2021-10-18
0,"Federation Chamber",2021-09-02
68460,"House of Representatives",2021-09-02
0,"Federation Chamber",2021-09-01
88881,"House of Representatives",2021-09-01
0,"Federation Chamber",2021-08-31
67909,"House of Representatives",2021-08-31
0,"Federation Chamber",2021-08-30
81180,"House of Representatives",2021-08-30
0,"Federation Chamber",2021-08-26
60642,"House of Representatives",2021-08-26
0,"Federation Chamber",2021-08-25
87124,"House of Representatives",2021-08-25
0,"Federation Chamber",2021-08-24
72999,"House of Representatives",2021-08-24
0,"Federation Chamber",2021-08-23
82225,"House of Representatives",2021-08-23
0,"Federation Chamber",2021-08-12
63417,"House of Representatives",2021-08-12
0,"Federation Chamber",2021-08-11
85751,"House of Representatives",2021-08-11
0,"Federation Chamber",2021-08-10
63723,"House of Representatives",2021-08-10
0,"Federation Chamber",2021-08-09
86099,"House of Representatives",2021-08-09
0,"Federation Chamber",2021-08-05
60367,"House of Representatives",2021-08-05
0,"Federation Chamber",2021-08-04
89936,"House of Representatives",2021-08-04
0,"Federation Chamber",2021-08-03
70442,"House of Representatives",2021-08-03
21772,"Federation Chamber",2021-06-24
62075,"House of Representatives",2021-06-24
47120,"Federation Chamber",2021-06-23
92623,"House of Representatives",2021-06-23
25060,"Federation Chamber",2021-06-22
64952,"House of Representatives",2021-06-22
54271,"Federation Chamber",2021-06-21
82103,"House of Representatives",2021-06-21
22647,"Federation Chamber",2021-06-17
55977,"House of Representatives",2021-06-17
58473,"Federation Chamber",2021-06-16
87227,"House of Representatives",2021-06-16
26888,"Federation Chamber",2021-06-15
61131,"House of Representatives",2021-06-15
16423,"Federation Chamber",2021-06-03
53820,"House of Representatives",2021-06-03
53504,"Federation Chamber",2021-06-02
79266,"House of Representatives",2021-06-02
32045,"Federation Chamber",2021-06-01
61338,"House of Representatives",2021-06-01
28641,"Federation Chamber",2021-05-27
60426,"House of Representatives",2021-05-27
57270,"Federation Chamber",2021-05-26
85336,"House of Representatives",2021-05-26
35506,"Federation Chamber",2021-05-25
60118,"House of Representatives",2021-05-25
56319,"Federation Chamber",2021-05-24
84893,"House of Representatives",2021-05-24
21587,"Federation Chamber",2021-05-13
74761,"House of Representatives",2021-05-13
53158,"Federation Chamber",2021-05-12
87609,"House of Representatives",2021-05-12
0,"Federation Chamber",2021-05-11
25411,"House of Representatives",2021-05-11
25322,"Federation Chamber",2021-03-25
63427,"House of Representatives",2021-03-25
40673,"Federation Chamber",2021-03-24
89320,"House of Representatives",2021-03-24
22292,"Federation Chamber",2021-03-23
68497,"House of Representatives",2021-03-23
56979,"Federation Chamber",2021-03-22
81626,"House of Representatives",2021-03-22
19125,"Federation Chamber",2021-03-18
63323,"House of Representatives",2021-03-18
9258,"Federation Chamber",2021-03-17
87018,"House of Representatives",2021-03-17
20448,"Federation Chamber",2021-03-16
66925,"House of Representatives",2021-03-16
50696,"Federation Chamber",2021-03-15
75709,"House of Representatives",2021-03-15
13633,"Federation Chamber",2021-02-25
63497,"House of Representatives",2021-02-25
9751,"Federation Chamber",2021-02-24
85194,"House of Representatives",2021-02-24
13140,"Federation Chamber",2021-02-23
74269,"House of Representatives",2021-02-23
55199,"Federation Chamber",2021-02-22
87655,"House of Representatives",2021-02-22
18480,"Federation Chamber",2021-02-18
60731,"House of Representatives",2021-02-18
14160,"Federation Chamber",2021-02-17
88994,"House of Representatives",2021-02-17
21494,"Federation Chamber",2021-02-16
66520,"House of Representatives",2021-02-16
52333,"Federation Chamber",2021-02-15
77458,"House of Representatives",2021-02-15
15929,"Federation Chamber",2021-02-04
54164,"House of Representatives",2021-02-04
9049,"Federation Chamber",2021-02-03
89553,"House of Representatives",2021-02-03
13787,"Federation Chamber",2021-02-02
63081,"House of Representatives",2021-02-02
22642,"Federation Chamber",2020-12-10
73582,"House of Representatives",2020-12-10
44748,"Federation Chamber",2020-12-09
80856,"House of Representatives",2020-12-09
26715,"Federation Chamber",2020-12-08
63047,"House of Representatives",2020-12-08
51511,"Federation Chamber",2020-12-07
74388,"House of Representatives",2020-12-07
20521,"Federation Chamber",2020-12-03
60233,"House of Representatives",2020-12-03
13764,"Federation Chamber",2020-12-02
87914,"House of Representatives",2020-12-02
26803,"Federation Chamber",2020-12-01
64155,"House of Representatives",2020-12-01
57570,"Federation Chamber",2020-11-30
79911,"House of Representatives",2020-11-30
26214,"Federation Chamber",2020-11-12
60690,"House of Representatives",2020-11-12
40525,"Federation Chamber",2020-11-11
69885,"House of Representatives",2020-11-11
40464,"Federation Chamber",2020-11-10
66336,"House of Representatives",2020-11-10
57573,"Federation Chamber",2020-11-09
85355,"House of Representatives",2020-11-09
13891,"Federation Chamber",2020-10-29
57531,"House of Representatives",2020-10-29
67162,"Federation Chamber",2020-10-28
92674,"House of Representatives",2020-10-28
29108,"Federation Chamber",2020-10-27
65031,"House of Representatives",2020-10-27
43409,"Federation Chamber",2020-10-26
69795,"House of Representatives",2020-10-26
25394,"Federation Chamber",2020-10-22
64633,"House of Representatives",2020-10-22
59032,"Federation Chamber",2020-10-21
88262,"House of Representatives",2020-10-21
20252,"Federation Chamber",2020-10-20
64810,"House of Representatives",2020-10-20
46549,"Federation Chamber",2020-10-19
85691,"House of Representatives",2020-10-19
24187,"Federation Chamber",2020-10-08
72948,"House of Representatives",2020-10-08
28252,"Federation Chamber",2020-10-07
97653,"House of Representatives",2020-10-07
0,"Federation Chamber",2020-10-06
55683,"House of Representatives",2020-10-06
14987,"Federation Chamber",2020-09-03
52016,"House of Representatives",2020-09-03
10193,"Federation Chamber",2020-09-02
74036,"House of Representatives",2020-09-02
18622,"Federation Chamber",2020-09-01
60847,"House of Representatives",2020-09-01
45304,"Federation Chamber",2020-08-31
74473,"House of Representatives",2020-08-31
13661,"Federation Chamber",2020-08-27
60114,"House of Representatives",2020-08-27
4543,"Federation Chamber",2020-08-26
91726,"House of Representatives",2020-08-26
24008,"Federation Chamber",2020-08-25
62058,"House of Representatives",2020-08-25
57158,"Federation Chamber",2020-08-24
85762,"House of Representatives",2020-08-24
17936,"Federation Chamber",2020-06-18
55405,"House of Representatives",2020-06-18
9615,"Federation Chamber",2020-06-17
75212,"House of Representatives",2020-06-17
18061,"Federation Chamber",2020-06-16
59658,"House of Representatives",2020-06-16
54368,"Federation Chamber",2020-06-15
82847,"House of Representatives",2020-06-15
20480,"Federation Chamber",2020-06-12
60787,"House of Representatives",2020-06-12
21004,"Federation Chamber",2020-06-11
86870,"House of Representatives",2020-06-11
53182,"Federation Chamber",2020-06-10
88349,"House of Representatives",2020-06-10
24296,"Federation Chamber",2020-05-14
63865,"House of Representatives",2020-05-14
21354,"Federation Chamber",2020-05-13
87124,"House of Representatives",2020-05-13
0,"Federation Chamber",2020-05-12
85222,"House of Representatives",2020-05-12
0,"Federation Chamber",2020-04-08
51643,"House of Representatives",2020-04-08
0,"Federation Chamber",2020-03-23
76728,"House of Representatives",2020-03-23
6978,"Federation Chamber",2020-03-05
56298,"House of Representatives",2020-03-05
5998,"Federation Chamber",2020-03-04
81594,"House of Representatives",2020-03-04
19002,"Federation Chamber",2020-03-03
63739,"House of Representatives",2020-03-03
52287,"Federation Chamber",2020-03-02
88118,"House of Representatives",2020-03-02
1479,"Federation Chamber",2020-02-27
53032,"House of Representatives",2020-02-27
15690,"Federation Chamber",2020-02-26
77483,"House of Representatives",2020-02-26
27855,"Federation Chamber",2020-02-25
67332,"House of Representatives",2020-02-25
55294,"Federation Chamber",2020-02-24
82734,"House of Representatives",2020-02-24
25554,"Federation Chamber",2020-02-13
61707,"House of Representatives",2020-02-13
26381,"Federation Chamber",2020-02-12
81643,"House of Representatives",2020-02-12
23903,"Federation Chamber",2020-02-11
60059,"House of Representatives",2020-02-11
22816,"Federation Chamber",2020-02-10
48656,"House of Representatives",2020-02-10
28010,"Federation Chamber",2020-02-06
54602,"House of Representatives",2020-02-06
56588,"Federation Chamber",2020-02-05
80355,"House of Representatives",2020-02-05
0,"Federation Chamber",2020-02-04
87898,"House of Representatives",2020-02-04
9091,"Federation Chamber",2019-12-05
61246,"House of Representatives",2019-12-05
3318,"Federation Chamber",2019-12-04
58125,"House of Representatives",2019-12-04
17523,"Federation Chamber",2019-12-03
63404,"House of Representatives",2019-12-03
54850,"Federation Chamber",2019-12-02
81734,"House of Representatives",2019-12-02
13509,"Federation Chamber",2019-11-28
49226,"House of Representatives",2019-11-28
30418,"Federation Chamber",2019-11-27
159373,"House of Representatives",2019-11-27
10123,"Federation Chamber",2019-11-26
53056,"House of Representatives",2019-11-26
49105,"Federation Chamber",2019-11-25
109816,"House of Representatives",2019-11-25
22540,"Federation Chamber",2019-10-24
55772,"House of Representatives",2019-10-24
48471,"Federation Chamber",2019-10-23
87645,"House of Representatives",2019-10-23
31000,"Federation Chamber",2019-10-22
67456,"House of Representatives",2019-10-22
49465,"Federation Chamber",2019-10-21
82743,"House of Representatives",2019-10-21
22848,"Federation Chamber",2019-10-17
59337,"House of Representatives",2019-10-17
49743,"Federation Chamber",2019-10-16
84639,"House of Representatives",2019-10-16
23189,"Federation Chamber",2019-10-15
62559,"House of Representatives",2019-10-15
58277,"Federation Chamber",2019-10-14
99157,"House of Representatives",2019-10-14
25122,"Federation Chamber",2019-09-19
61608,"House of Representatives",2019-09-19
56294,"Federation Chamber",2019-09-18
87223,"House of Representatives",2019-09-18
30124,"Federation Chamber",2019-09-17
69270,"House of Representatives",2019-09-17
52489,"Federation Chamber",2019-09-16
79631,"House of Representatives",2019-09-16
24120,"Federation Chamber",2019-09-12
60328,"House of Representatives",2019-09-12
52658,"Federation Chamber",2019-09-11
99589,"House of Representatives",2019-09-11
22595,"Federation Chamber",2019-09-10
61584,"House of Representatives",2019-09-10
50667,"Federation Chamber",2019-09-09
96242,"House of Representatives",2019-09-09
25473,"Federation Chamber",2019-08-01
71298,"House of Representatives",2019-08-01
54713,"Federation Chamber",2019-07-31
88670,"House of Representatives",2019-07-31
13636,"Federation Chamber",2019-07-30
62591,"House of Representatives",2019-07-30
55736,"Federation Chamber",2019-07-29
83490,"House of Representatives",2019-07-29
13765,"Federation Chamber",2019-07-25
55143,"House of Representatives",2019-07-25
8676,"Federation Chamber",2019-07-24
79639,"House of Representatives",2019-07-24
15392,"Federation Chamber",2019-07-23
64799,"House of Representatives",2019-07-23
47133,"Federation Chamber",2019-07-22
85836,"House of Representatives",2019-07-22
0,"Federation Chamber",2019-07-04
74056,"House of Representatives",2019-07-04
0,"Federation Chamber",2019-07-03
82947,"House of Representatives",2019-07-03
0,"Federation Chamber",2019-07-02
36270,"House of Representatives",2019-07-02
18533,"Federation Chamber",2019-04-04
82465,"House of Representatives",2019-04-04
48986,"Federation Chamber",2019-04-03
89996,"House of Representatives",2019-04-03
0,"Federation Chamber",2019-04-02
67462,"House of Representatives",2019-04-02
11827,"Federation Chamber",2019-02-21
58739,"House of Representatives",2019-02-21
48855,"Federation Chamber",2019-02-20
88030,"House of Representatives",2019-02-20
31129,"Federation Chamber",2019-02-19
67358,"House of Representatives",2019-02-19
54436,"Federation Chamber",2019-02-18
87970,"House of Representatives",2019-02-18
17506,"Federation Chamber",2019-02-14
62250,"House of Representatives",2019-02-14
29827,"Federation Chamber",2019-02-13
90948,"House of Representatives",2019-02-13
13294,"Federation Chamber",2019-02-12
81822,"House of Representatives",2019-02-12
21060,"Federation Chamber",2018-12-06
80965,"House of Representatives",2018-12-06
29974,"Federation Chamber",2018-12-05
79148,"House of Representatives",2018-12-05
27522,"Federation Chamber",2018-12-04
67881,"House of Representatives",2018-12-04
51875,"Federation Chamber",2018-12-03
85011,"House of Representatives",2018-12-03
19110,"Federation Chamber",2018-11-29
65344,"House of Representatives",2018-11-29
19840,"Federation Chamber",2018-11-28
97788,"House of Representatives",2018-11-28
24197,"Federation Chamber",2018-11-27
67949,"House of Representatives",2018-11-27
45980,"Federation Chamber",2018-11-26
99670,"House of Representatives",2018-11-26
26196,"Federation Chamber",2018-10-25
68223,"House of Representatives",2018-10-25
46844,"Federation Chamber",2018-10-24
93826,"House of Representatives",2018-10-24
30418,"Federation Chamber",2018-10-23
69839,"House of Representatives",2018-10-23
27724,"Federation Chamber",2018-10-22
57134,"House of Representatives",2018-10-22
14972,"Federation Chamber",2018-10-18
63764,"House of Representatives",2018-10-18
9627,"Federation Chamber",2018-10-17
89711,"House of Representatives",2018-10-17
20946,"Federation Chamber",2018-10-16
68821,"House of Representatives",2018-10-16
49503,"Federation Chamber",2018-10-15
92813,"House of Representatives",2018-10-15
18649,"Federation Chamber",2018-09-20
62551,"House of Representatives",2018-09-20
11914,"Federation Chamber",2018-09-19
86298,"House of Representatives",2018-09-19
29777,"Federation Chamber",2018-09-18
68360,"House of Representatives",2018-09-18
50303,"Federation Chamber",2018-09-17
79244,"House of Representatives",2018-09-17
23192,"Federation Chamber",2018-09-13
64988,"House of Representatives",2018-09-13
14500,"Federation Chamber",2018-09-12
90303,"House of Representatives",2018-09-12
26301,"Federation Chamber",2018-09-11
62883,"House of Representatives",2018-09-11
40127,"Federation Chamber",2018-09-10
81383,"House of Representatives",2018-09-10
12133,"Federation Chamber",2018-08-23
17145,"House of Representatives",2018-08-23
18342,"Federation Chamber",2018-08-22
89733,"House of Representatives",2018-08-22
20256,"Federation Chamber",2018-08-21
69259,"House of Representatives",2018-08-21
45347,"Federation Chamber",2018-08-20
84821,"House of Representatives",2018-08-20
17922,"Federation Chamber",2018-08-16
64716,"House of Representatives",2018-08-16
9390,"Federation Chamber",2018-08-15
80357,"House of Representatives",2018-08-15
22897,"Federation Chamber",2018-08-14
65060,"House of Representatives",2018-08-14
51283,"Federation Chamber",2018-08-13
94282,"House of Representatives",2018-08-13
17996,"Federation Chamber",2018-06-28
71805,"House of Representatives",2018-06-28
27009,"Federation Chamber",2018-06-27
89990,"House of Representatives",2018-06-27
24400,"Federation Chamber",2018-06-26
80811,"House of Representatives",2018-06-26
52549,"Federation Chamber",2018-06-25
83602,"House of Representatives",2018-06-25
22583,"Federation Chamber",2018-06-21
55944,"House of Representatives",2018-06-21
50734,"Federation Chamber",2018-06-20
91965,"House of Representatives",2018-06-20
29177,"Federation Chamber",2018-06-19
68416,"House of Representatives",2018-06-19
50593,"Federation Chamber",2018-06-18
85976,"House of Representatives",2018-06-18
22957,"Federation Chamber",2018-05-31
56848,"House of Representatives",2018-05-31
46564,"Federation Chamber",2018-05-30
90546,"House of Representatives",2018-05-30
39880,"Federation Chamber",2018-05-29
68792,"House of Representatives",2018-05-29
30240,"Federation Chamber",2018-05-24
61741,"House of Representatives",2018-05-24
56803,"Federation Chamber",2018-05-23
87932,"House of Representatives",2018-05-23
38926,"Federation Chamber",2018-05-22
66839,"House of Representatives",2018-05-22
51284,"Federation Chamber",2018-05-21
89366,"House of Representatives",2018-05-21
18982,"Federation Chamber",2018-05-10
77249,"House of Representatives",2018-05-10
49831,"Federation Chamber",2018-05-09
89880,"House of Representatives",2018-05-09
0,"Federation Chamber",2018-05-08
78508,"House of Representatives",2018-05-08
22196,"Federation Chamber",2018-03-28
80042,"House of Representatives",2018-03-28
23701,"Federation Chamber",2018-03-27
64826,"House of Representatives",2018-03-27
44817,"Federation Chamber",2018-03-26
90114,"House of Representatives",2018-03-26
23371,"Federation Chamber",2018-03-01
66164,"House of Representatives",2018-03-01
46199,"Federation Chamber",2018-02-28
89187,"House of Representatives",2018-02-28
24437,"Federation Chamber",2018-02-27
67783,"House of Representatives",2018-02-27
